;IdSensore;Tipologia;Unità DiMisura;IdStazione;NomeStazione;Quota;Provincia;DataStart;DataStop;Storico;UTM_Nord;UTM_Est;lng;lat;location;Valore;DATE_TIME
9;8013;Temperatura;°C;833;Gerola Alta Pescegallo;1875;SO;01/01/1995;;N;5097116;544202;9.571116796075923;46.0261906266171;(46.0261906266171, 9.571116796075925);13.3;2016-08-06 16:50:00
56;8016;Temperatura;°C;836;Aprica;1950;SO;01/01/1995;;N;5109097;588704;10.148256664341748;46.1296816331299;(46.1296816331299, 10.148256664341748);13.9;2016-08-06 16:50:00
7;8023;Temperatura;°C;847;Carona Carisole;1954;BG;01/01/1995;;N;5098634;561423;9.793799590056548;46.03852339399498;(46.03852339399498, 9.793799590056548);13.8;2016-08-06 16:50:00
185;8027;Temperatura;°C;848;Livigno La Vallaccia;2660;SO;01/01/1995;;N;5147768;591251;10.188728513795668;46.477304942910436;(46.47730494291044, 10.188728513795667);6.2;2016-08-06 16:50:00
174;8092;Temperatura;°C;832;Lanzada Palù;2151;SO;01/01/1995;;N;5126972;568128;9.884519789844443;46.292902818458884;(46.29290281845888, 9.884519789844443);13.0;2016-08-06 16:50:00
113;8096;Temperatura;°C;912;Foppolo;1682;BG;01/01/1998;;N;5099046;558502;9.756104062898736;46.04248712086998;(46.04248712086998, 9.756104062898737);17.2;2016-08-06 16:50:00
145;8104;Temperatura;°C;851;Treviso Bresciano Cavacca;1147;BS;01/01/1998;;N;5064493;616659;10.499165086906311;45.724156472747715;(45.724156472747715, 10.49916508690631);21.8;2016-08-06 16:50:00
55;8123;Temperatura;°C;867;Caslino d'Erba v. 4 novembre;427;CO;24/07/1998;;N;5075784;518046;9.232367048211152;45.835383638372434;(45.83538363837243, 9.232367048211152);28.2;2016-08-06 16:50:00
147;8133;Temperatura;°C;819;Lozio;994;BS;21/11/2001;;N;5092660;597684;10.261102117170283;45.980553705440606;(45.98055370544061, 10.261102117170282);22.8;2016-08-06 16:50:00
186;8134;Temperatura;°C;820;Pisogne;842;BS;21/11/2001;;N;5074016;589582;10.153049512504378;45.81388865384366;(45.81388865384366, 10.153049512504378);23.1;2016-08-06 16:50:00
