DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;0;1;2;3;4;5
19;6;2015;45,56145833;29,0328125;27,0984375;41,8265625;39,20677083;31,09375;4;;;;;;;;
20;6;2015;29,0328125;27,0984375;41,8265625;39,20677083;31,09375;42,209375;2;;;;;;;;
21;6;2015;27,0984375;41,8265625;39,20677083;31,09375;42,209375;50,98125;2;;;;;;;;
22;6;2015;41,8265625;39,20677083;31,09375;42,209375;50,98125;43,05520833;3;;;;;;;;
23;6;2015;39,20677083;31,09375;42,209375;50,98125;43,05520833;29,19704142;2;;;;;;;;
24;6;2015;31,09375;42,209375;50,98125;43,05520833;29,19704142;42,7625;4;;;;;;;;
25;6;2015;42,209375;50,98125;43,05520833;29,19704142;42,7625;41,90508475;1;;;;;;;;
26;6;2015;50,98125;43,05520833;29,19704142;42,7625;41,90508475;47,08333333;3;;;;;;;;
27;6;2015;43,05520833;29,19704142;42,7625;41,90508475;47,08333333;46,11822917;2;;;;;;;;
28;6;2015;29,19704142;42,7625;41,90508475;47,08333333;46,11822917;46,65260417;3;;;;;;;;
29;6;2015;42,7625;41,90508475;47,08333333;46,11822917;46,65260417;35,33475936;4;;;;;;;;
30;6;2015;41,90508475;47,08333333;46,11822917;46,65260417;35,33475936;37,875;9;;;;;;;;
1;7;2015;47,08333333;46,11822917;46,65260417;35,33475936;37,875;45,79277108;5;;;;;;;;
2;7;2015;46,11822917;46,65260417;35,33475936;37,875;45,79277108;38,80555556;0;;;;;;;;
3;7;2015;46,65260417;35,33475936;37,875;45,79277108;38,80555556;27,43815789;2;;;;;;;;
4;7;2015;35,33475936;37,875;45,79277108;38,80555556;27,43815789;35,65833333;4;;;;;;;;
5;7;2015;37,875;45,79277108;38,80555556;27,43815789;35,65833333;37,64371257;2;;;;;;;;
6;7;2015;45,79277108;38,80555556;27,43815789;35,65833333;37,64371257;38,76964286;4;;;;;;;;
7;7;2015;38,80555556;27,43815789;35,65833333;37,64371257;38,76964286;29,78333333;6;;;;;;;;
8;7;2015;27,43815789;35,65833333;37,64371257;38,76964286;29,78333333;41,63452381;3;;;;;;;;
9;7;2015;35,65833333;37,64371257;38,76964286;29,78333333;41,63452381;40,49464286;4;;;;;;;;
10;7;2015;37,64371257;38,76964286;29,78333333;41,63452381;40,49464286;47,35178571;6;;;;;;;;
11;7;2015;38,76964286;29,78333333;41,63452381;40,49464286;47,35178571;42,09107143;2;;;;;;;;
12;7;2015;29,78333333;41,63452381;40,49464286;47,35178571;42,09107143;43,30595238;3;;;;;;;;
13;7;2015;41,63452381;40,49464286;47,35178571;42,09107143;43,30595238;36,803125;1;;;;;;;;
14;7;2015;40,49464286;47,35178571;42,09107143;43,30595238;36,803125;23,64375;1;;;;;;;;
15;7;2015;47,35178571;42,09107143;43,30595238;36,803125;23,64375;27,21397849;5;;;;;;;;
16;7;2015;42,09107143;43,30595238;36,803125;23,64375;27,21397849;45,26451613;2;;;;;;;;
17;7;2015;43,30595238;36,803125;23,64375;27,21397849;45,26451613;53,91755319;4;;;;;;;;
18;7;2015;36,803125;23,64375;27,21397849;45,26451613;53,91755319;32,83511905;2;;;;;;;;
19;7;2015;23,64375;27,21397849;45,26451613;53,91755319;32,83511905;38,21190476;3;;;;;;;;
