Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
16,01076389;16,89039352;17,34259259;17,88796296;16,04247685;14,22190035;4;;;;;;;;;
16,89039352;17,34259259;17,88796296;16,04247685;14,22190035;11,99571263;5;;;;;;;;;
17,34259259;17,88796296;16,04247685;14,22190035;11,99571263;12,2318287;4;;;;;;;;;
17,88796296;16,04247685;14,22190035;11,99571263;12,2318287;13,25497685;4;;;;;;;;;
16,04247685;14,22190035;11,99571263;12,2318287;13,25497685;12,24085648;4;;;;;;;;;
14,22190035;11,99571263;12,2318287;13,25497685;12,24085648;14,27847222;5;;;;;;;;;
11,99571263;12,2318287;13,25497685;12,24085648;14,27847222;15,52013889;2;;;;;;;;;
12,2318287;13,25497685;12,24085648;14,27847222;15,52013889;10,42345238;4;;;;;;;;;
13,25497685;12,24085648;14,27847222;15,52013889;10,42345238;14,24421931;9;;;;;;;;;
12,24085648;14,27847222;15,52013889;10,42345238;14,24421931;17,88675958;5;;;;;;;;;
14,27847222;15,52013889;10,42345238;14,24421931;17,88675958;18,57905093;5;;;;;;;;;
15,52013889;10,42345238;14,24421931;17,88675958;18,57905093;16,6306713;4;;;;;;;;;
10,42345238;14,24421931;17,88675958;18,57905093;16,6306713;18,02951389;0;;;;;;;;;
14,24421931;17,88675958;18,57905093;16,6306713;18,02951389;18,50133333;1;;;;;;;;;
17,88675958;18,57905093;16,6306713;18,02951389;18,50133333;18,87175926;2;;;;;;;;;
18,57905093;16,6306713;18,02951389;18,50133333;18,87175926;15,5645933;4;;;;;;;;;
16,6306713;18,02951389;18,50133333;18,87175926;15,5645933;15,60671296;7;;;;;;;;;
18,02951389;18,50133333;18,87175926;15,5645933;15,60671296;14,58910776;3;;;;;;;;;
18,50133333;18,87175926;15,5645933;15,60671296;14,58910776;14,41306884;5;;;;;;;;;
18,87175926;15,5645933;15,60671296;14,58910776;14,41306884;15,46064815;6;;;;;;;;;
15,5645933;15,60671296;14,58910776;14,41306884;15,46064815;17,80208333;4;;;;;;;;;
15,60671296;14,58910776;14,41306884;15,46064815;17,80208333;17,74618056;4;;;;;;;;;
14,58910776;14,41306884;15,46064815;17,80208333;17,74618056;15,17673611;6;;;;;;;;;
14,41306884;15,46064815;17,80208333;17,74618056;15,17673611;16,5727907;5;;;;;;;;;
15,46064815;17,80208333;17,74618056;15,17673611;16,5727907;17,50904872;3;;;;;;;;;
17,80208333;17,74618056;15,17673611;16,5727907;17,50904872;12,80891204;7;;;;;;;;;
17,74618056;15,17673611;16,5727907;17,50904872;12,80891204;17,5116144;3;;;;;;;;;
15,17673611;16,5727907;17,50904872;12,80891204;17,5116144;20,67847222;6;;;;;;;;;
16,5727907;17,50904872;12,80891204;17,5116144;20,67847222;21,61053241;6;;;;;;;;;
17,50904872;12,80891204;17,5116144;20,67847222;21,61053241;16,67002315;9;;;;;;;;;
12,80891204;17,5116144;20,67847222;21,61053241;16,67002315;19,04895833;2;;;;;;;;;
17,5116144;20,67847222;21,61053241;16,67002315;19,04895833;19,06724537;3;;;;;;;;;
20,67847222;21,61053241;16,67002315;19,04895833;19,06724537;21,08317865;8;;;;;;;;;
21,61053241;16,67002315;19,04895833;19,06724537;21,08317865;23,00416667;5;;;;;;;;;
16,67002315;19,04895833;19,06724537;21,08317865;23,00416667;24,0255787;4;;;;;;;;;
19,04895833;19,06724537;21,08317865;23,00416667;24,0255787;17,71042874;12;;;;;;;;;
19,06724537;21,08317865;23,00416667;24,0255787;17,71042874;16,31157407;2;;;;;;;;;
21,08317865;23,00416667;24,0255787;17,71042874;16,31157407;17,01886574;3;;;;;;;;;
23,00416667;24,0255787;17,71042874;16,31157407;17,01886574;17,51274623;4;;;;;;;;;
