DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
17;3;2016;48,27160494;65,47380952;63,92035928;39,83214286;57,80833333;49,49702381;1;;;;;;;;;
18;3;2016;65,47380952;63,92035928;39,83214286;57,80833333;49,49702381;38,44107143;6;;;;;;;;;
19;3;2016;63,92035928;39,83214286;57,80833333;49,49702381;38,44107143;55,4327381;4;;;;;;;;;
20;3;2016;39,83214286;57,80833333;49,49702381;38,44107143;55,4327381;44,70059524;4;;;;;;;;;
21;3;2016;57,80833333;49,49702381;38,44107143;55,4327381;44,70059524;47,94047619;1;;;;;;;;;
22;3;2016;49,49702381;38,44107143;55,4327381;44,70059524;47,94047619;32,39702381;2;;;;;;;;;
23;3;2016;38,44107143;55,4327381;44,70059524;47,94047619;32,39702381;33,58571429;6;;;;;;;;;
24;3;2016;55,4327381;44,70059524;47,94047619;32,39702381;33,58571429;35,67440476;2;;;;;;;;;
25;3;2016;44,70059524;47,94047619;32,39702381;33,58571429;35,67440476;55,2537931;2;;;;;;;;;
26;3;2016;47,94047619;32,39702381;33,58571429;35,67440476;55,2537931;60,4797619;1;;;;;;;;;
27;3;2016;32,39702381;33,58571429;35,67440476;55,2537931;60,4797619;43,80364583;5;;;;;;;;;
28;3;2016;33,58571429;35,67440476;55,2537931;60,4797619;43,80364583;48,36460674;5;;;;;;;;;
29;3;2016;35,67440476;55,2537931;60,4797619;43,80364583;48,36460674;48,27202381;6;;;;;;;;;
30;3;2016;55,2537931;60,4797619;43,80364583;48,36460674;48,27202381;42,33630952;1;;;;;;;;;
31;3;2016;60,4797619;43,80364583;48,36460674;48,27202381;42,33630952;43,72565789;4;;;;;;;;;
1;4;2016;43,80364583;48,36460674;48,27202381;42,33630952;43,72565789;52,01256545;7;;;;;;;;;
2;4;2016;48,36460674;48,27202381;42,33630952;43,72565789;52,01256545;50,25520833;6;;;;;;;;;
3;4;2016;48,27202381;42,33630952;43,72565789;52,01256545;50,25520833;42,36923077;8;;;;;;;;;
4;4;2016;42,33630952;43,72565789;52,01256545;50,25520833;42,36923077;30,2922619;5;;;;;;;;;
5;4;2016;43,72565789;52,01256545;50,25520833;42,36923077;30,2922619;28,27591623;5;;;;;;;;;
6;4;2016;52,01256545;50,25520833;42,36923077;30,2922619;28,27591623;33,5698324;3;;;;;;;;;
7;4;2016;50,25520833;42,36923077;30,2922619;28,27591623;33,5698324;41,52619048;3;;;;;;;;;
8;4;2016;42,36923077;30,2922619;28,27591623;33,5698324;41,52619048;49,7424581;4;;;;;;;;;
9;4;2016;30,2922619;28,27591623;33,5698324;41,52619048;49,7424581;39,79349112;4;;;;;;;;;
10;4;2016;28,27591623;33,5698324;41,52619048;49,7424581;39,79349112;42,69464286;3;;;;;;;;;
11;4;2016;33,5698324;41,52619048;49,7424581;39,79349112;42,69464286;44,28;6;;;;;;;;;
12;4;2016;41,52619048;49,7424581;39,79349112;42,69464286;44,28;39,25694444;5;;;;;;;;;
13;4;2016;49,7424581;39,79349112;42,69464286;44,28;39,25694444;37,44662577;4;;;;;;;;;
14;4;2016;39,79349112;42,69464286;44,28;39,25694444;37,44662577;41,79289617;0;;;;;;;;;
15;4;2016;42,69464286;44,28;39,25694444;37,44662577;41,79289617;47,76770833;2;;;;;;;;;
16;4;2016;44,28;39,25694444;37,44662577;41,79289617;47,76770833;45,290625;0;;;;;;;;;
17;4;2016;39,25694444;37,44662577;41,79289617;47,76770833;45,290625;50,1765625;6;;;;;;;;;
18;4;2016;37,44662577;41,79289617;47,76770833;45,290625;50,1765625;34,11643836;5;;;;;;;;;
19;4;2016;41,79289617;47,76770833;45,290625;50,1765625;34,11643836;33,72061069;4;;;;;;;;;
20;4;2016;47,76770833;45,290625;50,1765625;34,11643836;33,72061069;27,4760274;5;;;;;;;;;
21;4;2016;45,290625;50,1765625;34,11643836;33,72061069;27,4760274;45,96137931;4;;;;;;;;;
22;4;2016;50,1765625;34,11643836;33,72061069;27,4760274;45,96137931;41,49109948;4;;;;;;;;;
23;4;2016;34,11643836;33,72061069;27,4760274;45,96137931;41,49109948;39,30052083;4;;;;;;;;;
24;4;2016;33,72061069;27,4760274;45,96137931;41,49109948;39,30052083;43,83846154;5;;;;;;;;;
25;4;2016;27,4760274;45,96137931;41,49109948;39,30052083;43,83846154;41,41904762;2;;;;;;;;;
26;4;2016;45,96137931;41,49109948;39,30052083;43,83846154;41,41904762;32,34031414;4;;;;;;;;;
27;4;2016;41,49109948;39,30052083;43,83846154;41,41904762;32,34031414;42,9484375;9;;;;;;;;;
28;4;2016;39,30052083;43,83846154;41,41904762;32,34031414;42,9484375;42,72216216;5;;;;;;;;;
29;4;2016;43,83846154;41,41904762;32,34031414;42,9484375;42,72216216;41,7078125;5;;;;;;;;;
30;4;2016;41,41904762;32,34031414;42,9484375;42,72216216;41,7078125;45,09010417;4;;;;;;;;;
1;5;2016;32,34031414;42,9484375;42,72216216;41,7078125;45,09010417;64,97989418;0;;;;;;;;;
2;5;2016;42,9484375;42,72216216;41,7078125;45,09010417;64,97989418;51,14293194;1;;;;;;;;;
3;5;2016;42,72216216;41,7078125;45,09010417;64,97989418;51,14293194;34,86822917;2;;;;;;;;;
4;5;2016;41,7078125;45,09010417;64,97989418;51,14293194;34,86822917;47,97486631;4;;;;;;;;;
5;5;2016;45,09010417;64,97989418;51,14293194;34,86822917;47,97486631;55,47552083;7;;;;;;;;;
6;5;2016;64,97989418;51,14293194;34,86822917;47,97486631;55,47552083;41,03668639;3;;;;;;;;;
7;5;2016;51,14293194;34,86822917;47,97486631;55,47552083;41,03668639;48,69725275;5;;;;;;;;;
8;5;2016;34,86822917;47,97486631;55,47552083;41,03668639;48,69725275;49,54673913;6;;;;;;;;;
9;5;2016;47,97486631;55,47552083;41,03668639;48,69725275;49,54673913;36,809375;4;;;;;;;;;
10;5;2016;55,47552083;41,03668639;48,69725275;49,54673913;36,809375;26,65842105;4;;;;;;;;;
11;5;2016;41,03668639;48,69725275;49,54673913;36,809375;26,65842105;31,5390625;6;;;;;;;;;
12;5;2016;48,69725275;49,54673913;36,809375;26,65842105;31,5390625;39,596875;5;;;;;;;;;
13;5;2016;49,54673913;36,809375;26,65842105;31,5390625;39,596875;41,40104712;3;;;;;;;;;
14;5;2016;36,809375;26,65842105;31,5390625;39,596875;41,40104712;53,57760417;7;;;;;;;;;
15;5;2016;26,65842105;31,5390625;39,596875;41,40104712;53,57760417;51,09344262;3;;;;;;;;;
16;5;2016;31,5390625;39,596875;41,40104712;53,57760417;51,09344262;45,31309524;6;;;;;;;;;
17;5;2016;39,596875;41,40104712;53,57760417;51,09344262;45,31309524;41,04642857;6;;;;;;;;;
18;5;2016;41,40104712;53,57760417;51,09344262;45,31309524;41,04642857;42,7625;9;;;;;;;;;
19;5;2016;53,57760417;51,09344262;45,31309524;41,04642857;42,7625;34,40238095;2;;;;;;;;;
20;5;2016;51,09344262;45,31309524;41,04642857;42,7625;34,40238095;29,864;3;;;;;;;;;
21;5;2016;45,31309524;41,04642857;42,7625;34,40238095;29,864;39,0765625;8;;;;;;;;;
22;5;2016;41,04642857;42,7625;34,40238095;29,864;39,0765625;56,753125;5;;;;;;;;;
23;5;2016;42,7625;34,40238095;29,864;39,0765625;56,753125;45,24782609;4;;;;;;;;;
24;5;2016;34,40238095;29,864;39,0765625;56,753125;45,24782609;36,90625;12;;;;;;;;;
25;5;2016;29,864;39,0765625;56,753125;45,24782609;36,90625;52,49267016;2;;;;;;;;;
26;5;2016;39,0765625;56,753125;45,24782609;36,90625;52,49267016;53,78854167;3;;;;;;;;;
27;5;2016;56,753125;45,24782609;36,90625;52,49267016;53,78854167;52,39057592;4;;;;;;;;;
28;5;2016;45,24782609;36,90625;52,49267016;53,78854167;52,39057592;32,97552083;9;;;;;;;;;
29;5;2016;36,90625;52,49267016;53,78854167;52,39057592;32,97552083;39,16963351;2;;;;;;;;;
30;5;2016;52,49267016;53,78854167;52,39057592;32,97552083;39,16963351;33,90572917;0;;;;;;;;;
31;5;2016;53,78854167;52,39057592;32,97552083;39,16963351;33,90572917;30,68958333;2;;;;;;;;;
1;6;2016;52,39057592;32,97552083;39,16963351;33,90572917;30,68958333;42,61875;9;;;;;;;;;
2;6;2016;32,97552083;39,16963351;33,90572917;30,68958333;42,61875;52,28272251;2;;;;;;;;;
3;6;2016;39,16963351;33,90572917;30,68958333;42,61875;52,28272251;43,48072917;6;;;;;;;;;
4;6;2016;33,90572917;30,68958333;42,61875;52,28272251;43,48072917;38,18697917;5;;;;;;;;;
5;6;2016;30,68958333;42,61875;52,28272251;43,48072917;38,18697917;41,94270833;5;;;;;;;;;
6;6;2016;42,61875;52,28272251;43,48072917;38,18697917;41,94270833;41,57239583;5;;;;;;;;;
7;6;2016;52,28272251;43,48072917;38,18697917;41,94270833;41,57239583;31,23697917;6;;;;;;;;;
8;6;2016;43,48072917;38,18697917;41,94270833;41,57239583;31,23697917;33,48314607;1;;;;;;;;;
9;6;2016;38,18697917;41,94270833;41,57239583;31,23697917;33,48314607;31,79036145;4;;;;;;;;;
10;6;2016;41,94270833;41,57239583;31,23697917;33,48314607;31,79036145;35,01369048;6;;;;;;;;;
11;6;2016;41,57239583;31,23697917;33,48314607;31,79036145;35,01369048;39,76428571;5;;;;;;;;;
12;6;2016;31,23697917;33,48314607;31,79036145;35,01369048;39,76428571;27,97160494;5;;;;;;;;;
13;6;2016;33,48314607;31,79036145;35,01369048;39,76428571;27,97160494;32,75059524;3;;;;;;;;;
14;6;2016;31,79036145;35,01369048;39,76428571;27,97160494;32,75059524;39,64464286;1;;;;;;;;;
15;6;2016;35,01369048;39,76428571;27,97160494;32,75059524;39,64464286;45,14821429;4;;;;;;;;;
16;6;2016;39,76428571;27,97160494;32,75059524;39,64464286;45,14821429;41,53095238;3;;;;;;;;;
17;6;2016;27,97160494;32,75059524;39,64464286;45,14821429;41,53095238;53,05238095;5;;;;;;;;;
18;6;2016;32,75059524;39,64464286;45,14821429;41,53095238;53,05238095;57,28035714;3;;;;;;;;;
19;6;2016;39,64464286;45,14821429;41,53095238;53,05238095;57,28035714;52,38154762;3;;;;;;;;;
20;6;2016;45,14821429;41,53095238;53,05238095;57,28035714;52,38154762;34,65238095;4;;;;;;;;;
21;6;2016;41,53095238;53,05238095;57,28035714;52,38154762;34,65238095;25,84478528;4;;;;;;;;;
22;6;2016;53,05238095;57,28035714;52,38154762;34,65238095;25,84478528;34,19166667;6;;;;;;;;;
23;6;2016;57,28035714;52,38154762;34,65238095;25,84478528;34,19166667;34,63719512;7;;;;;;;;;
24;6;2016;52,38154762;34,65238095;25,84478528;34,19166667;34,63719512;40,79464286;4;;;;;;;;;
25;6;2016;34,65238095;25,84478528;34,19166667;34,63719512;40,79464286;33,69047619;8;;;;;;;;;
26;6;2016;25,84478528;34,19166667;34,63719512;40,79464286;33,69047619;34,32613636;2;;;;;;;;;
27;6;2016;34,19166667;34,63719512;40,79464286;33,69047619;34,32613636;28,69427083;4;;;;;;;;;
28;6;2016;34,63719512;40,79464286;33,69047619;34,32613636;28,69427083;30,32291667;6;;;;;;;;;
29;6;2016;40,79464286;33,69047619;34,32613636;28,69427083;30,32291667;29,98333333;1;;;;;;;;;
30;6;2016;33,69047619;34,32613636;28,69427083;30,32291667;29,98333333;45,08481675;4;;;;;;;;;
1;7;2016;34,32613636;28,69427083;30,32291667;29,98333333;45,08481675;45,16210526;5;;;;;;;;;
2;7;2016;28,69427083;30,32291667;29,98333333;45,08481675;45,16210526;48,45885417;2;;;;;;;;;
3;7;2016;30,32291667;29,98333333;45,08481675;45,16210526;48,45885417;32,83177083;3;;;;;;;;;
4;7;2016;29,98333333;45,08481675;45,16210526;48,45885417;32,83177083;30,028125;2;;;;;;;;;
5;7;2016;45,08481675;45,16210526;48,45885417;32,83177083;30,028125;29,23541667;4;;;;;;;;;
6;7;2016;45,16210526;48,45885417;32,83177083;30,028125;29,23541667;34,99322917;2;;;;;;;;;
7;7;2016;48,45885417;32,83177083;30,028125;29,23541667;34,99322917;49,3625;2;;;;;;;;;
8;7;2016;32,83177083;30,028125;29,23541667;34,99322917;49,3625;43,28489583;4;;;;;;;;;
9;7;2016;30,028125;29,23541667;34,99322917;49,3625;43,28489583;34,14427083;4;;;;;;;;;
10;7;2016;29,23541667;34,99322917;49,3625;43,28489583;34,14427083;41,58958333;6;;;;;;;;;
11;7;2016;34,99322917;49,3625;43,28489583;34,14427083;41,58958333;45,19322917;5;;;;;;;;;
12;7;2016;49,3625;43,28489583;34,14427083;41,58958333;45,19322917;34,61510417;4;;;;;;;;;
13;7;2016;43,28489583;34,14427083;41,58958333;45,19322917;34,61510417;36,3265625;9;;;;;;;;;
14;7;2016;34,14427083;41,58958333;45,19322917;34,61510417;36,3265625;48,74479167;5;;;;;;;;;
15;7;2016;41,58958333;45,19322917;34,61510417;36,3265625;48,74479167;46,4953125;11;;;;;;;;;
16;7;2016;45,19322917;34,61510417;36,3265625;48,74479167;46,4953125;39,58541667;5;;;;;;;;;
17;7;2016;34,61510417;36,3265625;48,74479167;46,4953125;39,58541667;44,07864583;2;;;;;;;;;
18;7;2016;36,3265625;48,74479167;46,4953125;39,58541667;44,07864583;35,51770833;3;;;;;;;;;
19;7;2016;48,74479167;46,4953125;39,58541667;44,07864583;35,51770833;30,07395833;2;;;;;;;;;
20;7;2016;46,4953125;39,58541667;44,07864583;35,51770833;30,07395833;44,90364583;3;;;;;;;;;
21;7;2016;39,58541667;44,07864583;35,51770833;30,07395833;44,90364583;42,296875;3;;;;;;;;;
22;7;2016;44,07864583;35,51770833;30,07395833;44,90364583;42,296875;43,88894737;5;;;;;;;;;
23;7;2016;35,51770833;30,07395833;44,90364583;42,296875;43,88894737;36,8453125;4;;;;;;;;;
24;7;2016;30,07395833;44,90364583;42,296875;43,88894737;36,8453125;40,2859375;4;;;;;;;;;
25;7;2016;44,90364583;42,296875;43,88894737;36,8453125;40,2859375;29,41822917;4;;;;;;;;;
26;7;2016;42,296875;43,88894737;36,8453125;40,2859375;29,41822917;24,65208333;2;;;;;;;;;
27;7;2016;43,88894737;36,8453125;40,2859375;29,41822917;24,65208333;33,246875;2;;;;;;;;;
28;7;2016;36,8453125;40,2859375;29,41822917;24,65208333;33,246875;31,31822917;2;;;;;;;;;
29;7;2016;40,2859375;29,41822917;24,65208333;33,246875;31,31822917;40,51145833;7;;;;;;;;;
30;7;2016;29,41822917;24,65208333;33,246875;31,31822917;40,51145833;39,87395833;6;;;;;;;;;
31;7;2016;24,65208333;33,246875;31,31822917;40,51145833;39,87395833;31,19322917;2;;;;;;;;;
1;8;2016;33,246875;31,31822917;40,51145833;39,87395833;31,19322917;36,078125;4;;;;;;;;;
2;8;2016;31,31822917;40,51145833;39,87395833;31,19322917;36,078125;34,79739583;4;;;;;;;;;
3;8;2016;40,51145833;39,87395833;31,19322917;36,078125;34,79739583;39,565625;3;;;;;;;;;
4;8;2016;39,87395833;31,19322917;36,078125;34,79739583;39,565625;36,49427083;3;;;;;;;;;
5;8;2016;31,19322917;36,078125;34,79739583;39,565625;36,49427083;25,70104167;4;;;;;;;;;
6;8;2016;36,078125;34,79739583;39,565625;36,49427083;25,70104167;28,6734375;6;;;;;;;;;
7;8;2016;34,79739583;39,565625;36,49427083;25,70104167;28,6734375;35,05104167;4;;;;;;;;;
8;8;2016;39,565625;36,49427083;25,70104167;28,6734375;35,05104167;34,27071823;4;;;;;;;;;
9;8;2016;36,49427083;25,70104167;28,6734375;35,05104167;34,27071823;31,7125;2;;;;;;;;;
10;8;2016;25,70104167;28,6734375;35,05104167;34,27071823;31,7125;25,52559524;2;;;;;;;;;
11;8;2016;28,6734375;35,05104167;34,27071823;31,7125;25,52559524;24,59171271;2;;;;;;;;;
12;8;2016;35,05104167;34,27071823;31,7125;25,52559524;24,59171271;19,7921875;2;;;;;;;;;
13;8;2016;34,27071823;31,7125;25,52559524;24,59171271;19,7921875;22,80052083;1;;;;;;;;;
14;8;2016;31,7125;25,52559524;24,59171271;19,7921875;22,80052083;26,33802083;3;;;;;;;;;
15;8;2016;25,52559524;24,59171271;19,7921875;22,80052083;26,33802083;26,1859375;3;;;;;;;;;
16;8;2016;24,59171271;19,7921875;22,80052083;26,33802083;26,1859375;22,42662722;2;;;;;;;;;
17;8;2016;19,7921875;22,80052083;26,33802083;26,1859375;22,42662722;28,45297619;3;;;;;;;;;
18;8;2016;22,80052083;26,33802083;26,1859375;22,42662722;28,45297619;41,84107143;1;;;;;;;;;
19;8;2016;26,33802083;26,1859375;22,42662722;28,45297619;41,84107143;43,35535714;1;;;;;;;;;
20;8;2016;26,1859375;22,42662722;28,45297619;41,84107143;43,35535714;39,56130952;3;;;;;;;;;
21;8;2016;22,42662722;28,45297619;41,84107143;43,35535714;39,56130952;40,92797619;2;;;;;;;;;
22;8;2016;28,45297619;41,84107143;43,35535714;39,56130952;40,92797619;40,36964286;4;;;;;;;;;
23;8;2016;41,84107143;43,35535714;39,56130952;40,92797619;40,36964286;35,84880952;3;;;;;;;;;
24;8;2016;43,35535714;39,56130952;40,92797619;40,36964286;35,84880952;27,60062893;1;;;;;;;;;
25;8;2016;39,56130952;40,92797619;40,36964286;35,84880952;27,60062893;45,41354839;4;;;;;;;;;
26;8;2016;40,92797619;40,36964286;35,84880952;27,60062893;45,41354839;42,83444444;2;;;;;;;;;
27;8;2016;40,36964286;35,84880952;27,60062893;45,41354839;42,83444444;58,37760417;1;;;;;;;;;
28;8;2016;35,84880952;27,60062893;45,41354839;42,83444444;58,37760417;51,90260417;3;;;;;;;;;
29;8;2016;27,60062893;45,41354839;42,83444444;58,37760417;51,90260417;49,021875;3;;;;;;;;;
30;8;2016;45,41354839;42,83444444;58,37760417;51,90260417;49,021875;34,15677083;2;;;;;;;;;
31;8;2016;42,83444444;58,37760417;51,90260417;49,021875;34,15677083;38,0453125;5;;;;;;;;;
1;9;2016;58,37760417;51,90260417;49,021875;34,15677083;38,0453125;36,1;8;;;;;;;;;
2;9;2016;51,90260417;49,021875;34,15677083;38,0453125;36,1;43,3921875;6;;;;;;;;;
3;9;2016;49,021875;34,15677083;38,0453125;36,1;43,3921875;50,71620112;3;;;;;;;;;
4;9;2016;34,15677083;38,0453125;36,1;43,3921875;50,71620112;66,70408163;4;;;;;;;;;
5;9;2016;38,0453125;36,1;43,3921875;50,71620112;66,70408163;53,03611111;5;;;;;;;;;
6;9;2016;36,1;43,3921875;50,71620112;66,70408163;53,03611111;32,03888889;3;;;;;;;;;
7;9;2016;43,3921875;50,71620112;66,70408163;53,03611111;32,03888889;48,375;6;;;;;;;;;
8;9;2016;50,71620112;66,70408163;53,03611111;32,03888889;48,375;57,70526316;4;;;;;;;;;
9;9;2016;66,70408163;53,03611111;32,03888889;48,375;57,70526316;55,31190476;4;;;;;;;;;
10;9;2016;53,03611111;32,03888889;48,375;57,70526316;55,31190476;46,05595238;5;;;;;;;;;
11;9;2016;32,03888889;48,375;57,70526316;55,31190476;46,05595238;41,01916168;3;;;;;;;;;
12;9;2016;48,375;57,70526316;55,31190476;46,05595238;41,01916168;32,80059524;5;;;;;;;;;
13;9;2016;57,70526316;55,31190476;46,05595238;41,01916168;32,80059524;34,69404762;4;;;;;;;;;
14;9;2016;55,31190476;46,05595238;41,01916168;32,80059524;34,69404762;48,65178571;6;;;;;;;;;
