Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;;
91,20333797;96,61069444;84,98652778;31,85819444;53,15730181;76,31708333;4;;;;;;;;;
96,61069444;84,98652778;31,85819444;53,15730181;76,31708333;96,54625;2;;;;;;;;;
84,98652778;31,85819444;53,15730181;76,31708333;96,54625;89,13005698;2;;;;;;;;;
31,85819444;53,15730181;76,31708333;96,54625;89,13005698;92,30755245;5;;;;;;;;;
53,15730181;76,31708333;96,54625;89,13005698;92,30755245;45,24833333;1;;;;;;;;;
76,31708333;96,54625;89,13005698;92,30755245;45,24833333;43,11515994;5;;;;;;;;;
96,54625;89,13005698;92,30755245;45,24833333;43,11515994;69,18791667;6;;;;;;;;;
89,13005698;92,30755245;45,24833333;43,11515994;69,18791667;84,9775;4;;;;;;;;;
92,30755245;45,24833333;43,11515994;69,18791667;84,9775;91,70138889;2;;;;;;;;;
45,24833333;43,11515994;69,18791667;84,9775;91,70138889;79,98319444;6;;;;;;;;;
43,11515994;69,18791667;84,9775;91,70138889;79,98319444;91,61541667;7;;;;;;;;;
69,18791667;84,9775;91,70138889;79,98319444;91,61541667;93,415;2;;;;;;;;;
84,9775;91,70138889;79,98319444;91,61541667;93,415;81,32236111;2;;;;;;;;;
91,70138889;79,98319444;91,61541667;93,415;81,32236111;63,57291667;3;;;;;;;;;
79,98319444;91,61541667;93,415;81,32236111;63,57291667;52,03833333;4;;;;;;;;;
91,61541667;93,415;81,32236111;63,57291667;52,03833333;55,10569444;7;;;;;;;;;
93,415;81,32236111;63,57291667;52,03833333;55,10569444;79,85861111;3;;;;;;;;;
81,32236111;63,57291667;52,03833333;55,10569444;79,85861111;85,05847222;4;;;;;;;;;
63,57291667;52,03833333;55,10569444;79,85861111;85,05847222;67,69131054;2;;;;;;;;;
52,03833333;55,10569444;79,85861111;85,05847222;67,69131054;64,79388889;4;;;;;;;;;
55,10569444;79,85861111;85,05847222;67,69131054;64,79388889;81,57152778;2;;;;;;;;;
79,85861111;85,05847222;67,69131054;64,79388889;81,57152778;90,25916667;6;;;;;;;;;
85,05847222;67,69131054;64,79388889;81,57152778;90,25916667;97,0137931;1;;;;;;;;;
67,69131054;64,79388889;81,57152778;90,25916667;97,0137931;89,5125;2;;;;;;;;;
64,79388889;81,57152778;90,25916667;97,0137931;89,5125;77,29513213;6;;;;;;;;;
81,57152778;90,25916667;97,0137931;89,5125;77,29513213;71,20652778;4;;;;;;;;;
90,25916667;97,0137931;89,5125;77,29513213;71,20652778;40,63986111;2;;;;;;;;;
97,0137931;89,5125;77,29513213;71,20652778;40,63986111;56,05402778;5;;;;;;;;;
89,5125;77,29513213;71,20652778;40,63986111;56,05402778;92,41311707;2;;;;;;;;;
77,29513213;71,20652778;40,63986111;56,05402778;92,41311707;93,78115108;2;;;;;;;;;
71,20652778;40,63986111;56,05402778;92,41311707;93,78115108;79,79208333;6;;;;;;;;;
40,63986111;56,05402778;92,41311707;93,78115108;79,79208333;72,31180556;3;;;;;;;;;
56,05402778;92,41311707;93,78115108;79,79208333;72,31180556;69,20930556;6;;;;;;;;;
92,41311707;93,78115108;79,79208333;72,31180556;69,20930556;58,48805556;5;;;;;;;;;
