;IdSensore;Tipologia;Unità DiMisura;IdStazione;NomeStazione;Quota;Provincia;DataStart;DataStop;Storico;UTM_Nord;UTM_Est;lng;lat;location;Valore;DATE_TIME
101;2434;Umidità Relativa;%;132;Bergamo v.Stezzano;211;BG;01/01/1993;;N;5056541;551321;9.658768470289832;45.66051928748766;(45.66051928748766, 9.658768470289832);37.0;2016-08-06 16:50:00
35;2448;Umidità Relativa;%;133;Bema;800;SO;01/01/1993;;N;5105966;543983;9.569105234399473;46.10585292565578;(46.10585292565578, 9.569105234399471);38.0;2016-08-06 16:50:00
152;2460;Umidità Relativa;%;134;Corzano Bargnano;93;BS;03/05/1998;;N;5031659;581271;10.039027376964668;45.43372847020967;(45.43372847020967, 10.039027376964667);42.0;2016-08-06 16:50:00
14;2486;Umidità Relativa;%;136;Persico Dosimo;44;CR;01/01/1993;;N;5001673;583213;10.058815853817418;45.1636287122064;(45.16362871220641, 10.058815853817418);44.0;2016-08-06 16:50:00
132;2498;Umidità Relativa;%;137;Rivolta d'Adda Ist. Spallanzani;102;CR;09/06/1993;;N;5032417;540720;9.52068900696699;45.44409052331152;(45.444090523311516, 9.52068900696699);34.0;2016-08-06 16:50:00
97;2527;Umidità Relativa;%;139;Virgilio Mantova Cerese;19;MN;26/09/2003;;N;4997294;641005;10.792648102258523;45.11504742579236;(45.115047425792355, 10.792648102258525);30.0;2016-08-06 16:50:00
51;2612;Umidità Relativa;%;212;Canzo;1233;CO;26/11/2008;;N;5077224;524701;9.318132023436622;45.848137905085366;(45.84813790508536, 9.318132023436622);46.0;2016-08-06 16:50:00
98;2621;Umidità Relativa;%;214;Bigarello;15;MN;25/11/2009;;N;5005622;648246;10.88712870097558;45.188491050384435;(45.18849105038444, 10.887128700975579);37.0;2016-08-06 16:50:00
89;4010;Umidità Relativa;%;141;Vertemate con Minoprio serre;310;CO;25/05/2002;;N;5062832;506653;9.085488499092357;45.71901089635149;(45.71901089635149, 9.085488499092358);36.0;2016-08-06 16:50:00
138;4018;Umidità Relativa;%;142;Caiolo;274;SO;24/05/2002;;N;5111566;561195;9.792518875272254;46.15492316813672;(46.15492316813672, 9.792518875272254);42.0;2016-08-06 16:50:00
36;4027;Umidità Relativa;%;143;Livigno Passo Foscagno;2320;SO;20/01/2000;;N;5149692;592662;10.20748854795916;46.49442378267979;(46.49442378267979, 10.20748854795916);56.0;2016-08-06 16:50:00
108;4035;Umidità Relativa;%;144;Madesimo Spluga;1915;SO;19/11/2000;;N;5146513;526726;9.348122957946568;46.4716582729432;(46.4716582729432, 9.348122957946567);47.0;2016-08-06 16:50:00
1;4043;Umidità Relativa;%;145;Darfo Boario Terme;222;BS;06/06/2002;;N;5080789;591371;10.177356808981381;45.87460210989037;(45.87460210989037, 10.17735680898138);38.0;2016-08-06 16:50:00
115;4051;Umidità Relativa;%;146;Mezzoldo Passo S.Marco;1824;BG;23/05/2003;;N;5098490;548644;9.628646994972508;46.03825509195772;(46.038255091957716, 9.628646994972508);54.0;2016-08-06 16:50:00
52;4059;Umidità Relativa;%;147;Cinisello Balsamo Parco Nord;142;MI;30/05/2002;;N;5043257;516051;9.20560341214932;45.54266467840161;(45.5426646784016, 9.20560341214932);37.0;2016-08-06 16:50:00
29;4067;Umidità Relativa;%;148;Arconate SMR;182;MI;02/07/2002;;N;5043898;488082;8.847321929216262;45.54851735741946;(45.54851735741946, 8.847321929216262);36.0;2016-08-06 16:50:00
137;4083;Umidità Relativa;%;150;Pieve San Giacomo;39;CR;04/07/2002;;N;4997168;593999;10.195182889569637;45.121730206732785;(45.121730206732785, 10.195182889569637);32.0;2016-08-06 16:50:00
65;5122;Umidità Relativa;%;166;Mantova Lunetta2 SMR;25;MN;08/01/2006;;N;5002119;643358;10.823931433968092;45.15798527818925;(45.157985278189244, 10.823931433968092);35.0;2016-08-06 16:50:00
49;6158;Umidità Relativa;%;594;Bergamo v.Goisis;290;BG;13/09/1996;;N;5062715;553620;9.688958745309764;45.715912469852206;(45.715912469852206, 9.688958745309764);42.1;2016-08-06 16:50:00
103;6161;Umidità Relativa;%;586;Costa Volpino;192;BG;26/07/1993;;N;5075429;585212;10.097061724186311;45.82715793876258;(45.82715793876258, 10.09706172418631);34.4;2016-08-06 16:50:00
2;6163;Umidità Relativa;%;564;Erba v. Battisti;279;CO;21/02/2009;;N;5072803;517232;9.221779204488437;45.80857380692297;(45.808573806922965, 9.221779204488435);32.1;2016-08-06 16:50:00
15;6167;Umidità Relativa;%;575;Nibionno;310;LC;03/12/2002;;N;5066429;520613;9.265020964805544;45.75111126161782;(45.751111261617815, 9.265020964805544);31.4;2016-08-06 16:50:00
112;6172;Umidità Relativa;%;530;Agrate Brianza;162;MB;01/01/1999;;N;5046977;527628;9.354105650819204;45.575784759228064;(45.57578475922807, 9.354105650819204);33.6;2016-08-06 16:50:00
28;6174;Umidità Relativa;%;620;Milano v.Brera;122;MI;05/12/2002;;N;5035365;514782;9.189110383708842;45.471656293243036;(45.47165629324304, 9.189110383708842);25.2;2016-08-06 16:50:00
150;6176;Umidità Relativa;%;525;Corsico;119;MI;01/01/1999;;N;5031403;507619;9.097410841871476;45.43610851009912;(45.43610851009912, 9.097410841871474);26.2;2016-08-06 16:50:00
46;6179;Umidità Relativa;%;502;Milano v.Juvara;122;MI;01/01/1999;;N;5035546;517377;9.222315138737466;45.473225708577175;(45.473225708577175, 9.222315138737468);26.1;2016-08-06 16:50:00
114;6180;Umidità Relativa;%;535;Lacchiarella;97;MI;01/01/1999;;N;5019010;510542;9.134517264199276;45.32451741284727;(45.32451741284727, 9.134517264199278);35.4;2016-08-06 16:50:00
90;6185;Umidità Relativa;%;503;Milano P.zza Zavattari;122;MI;22/04/2002;;N;5035847;511082;9.141786267186658;45.476063405097904;(45.47606340509791, 9.141786267186658);23.5;2016-08-06 16:50:00
87;6193;Umidità Relativa;%;557;Lonate Pozzolo v.Veneto;204;VA;13/12/1996;;N;5048975;479783;8.7407965765392;45.594023517108575;(45.59402351710858, 8.7407965765392);46.4;2016-08-06 16:50:00
96;6194;Umidità Relativa;%;559;Somma Lombardo;210;VA;20/03/2000;;N;5055150;477613;8.712691458284791;45.649537127292405;(45.649537127292405, 8.71269145828479);46.7;2016-08-06 16:50:00
55;6197;Umidità Relativa;%;552;Varese v.Vidoletti;425;VA;23/12/1991;;N;5075945;484773;8.803926126674948;45.83690077655548;(45.83690077655548, 8.80392612667495);48.4;2016-08-06 16:50:00
53;6421;Umidità Relativa;%;629;Crema v.XI febbraio;79;CR;01/01/2002;;N;5023885;555127;9.703945513613167;45.36630907819434;(45.366309078194334, 9.703945513613167);38.3;2016-08-06 16:50:00
124;6597;Umidità Relativa;%;501;Milano v.Marche;129;MI;21/03/2002;;N;5038105;514918;9.190933555313624;45.496316443651025;(45.49631644365102, 9.190933555313624);22.5;2016-08-06 16:50:00
66;6603;Umidità Relativa;%;555;Busto Arsizio v.Magenta;222;VA;07/11/1991;;N;5050810;488313;8.850115752092071;45.610736040012604;(45.610736040012604, 8.850115752092071);42.2;2016-08-06 16:50:00
61;6699;Umidità Relativa;%;642;Pavia v. Folperti;77;PV;01/06/2002;;N;5004590;512932;9.164638300630086;45.19467609907785;(45.19467609907785, 9.164638300630086);30.7;2016-08-06 16:50:00
148;6796;Umidità Relativa;%;653;Brescia v.Ziziola;125;BS;18/11/2003;;N;5040836;595170;10.218463502801264;45.51455919056731;(45.51455919056731, 10.218463502801265);23.7;2016-08-06 16:50:00
24;6824;Umidità Relativa;%;656;Gambara;47;BS;01/01/1999;;N;5011493;601945;10.299119496064078;45.249543624746245;(45.24954362474624, 10.299119496064078);35.6;2016-08-06 16:50:00
74;6835;Umidità Relativa;%;657;Lonato del Garda;180;BS;01/01/1999;;N;5035536;615762;10.480772043571283;45.46375313621026;(45.463753136210265, 10.480772043571283);39.4;2016-08-06 16:50:00
38;6850;Umidità Relativa;%;659;Odolo;349;BS;01/01/1999;;N;5055661;608260;10.389295302791961;45.646049633725255;(45.64604963372525, 10.38929530279196);41.2;2016-08-06 16:50:00
42;7030;Umidità Relativa;%;687;Ferno;215;VA;05/11/2006;;N;5051773;481053;8.756970445453431;45.61924377994763;(45.61924377994763, 8.756970445453431);38.7;2016-08-06 16:50:00
18;8011;Umidità Relativa;%;835;Valdisotto Oga S. Colombano;2300;SO;01/01/1995;;N;5145272;600293;10.305951823970043;46.45356305894081;(46.45356305894081, 10.305951823970043);54.0;2016-08-06 16:50:00
25;8030;Umidità Relativa;%;848;Livigno La Vallaccia;2660;SO;01/01/1995;;N;5147768;591251;10.188728513795668;46.477304942910436;(46.47730494291044, 10.188728513795667);70.0;2016-08-06 16:50:00
126;8585;Umidità Relativa;%;999;Laveno-Mombello Poggio S.Elsa;950;VA;23/06/1999;;N;5084222;471939;8.638185708619893;45.91099372061516;(45.91099372061516, 8.638185708619893);50.0;2016-08-06 16:50:00
20;9311;Umidità Relativa;%;646;Como Villa Gallia;201;CO;01/01/1999;;N;5073500;505203;9.06697137484454;45.815042860112904;(45.81504286011291, 9.06697137484454);49.8;2016-08-06 16:50:00
133;9381;Umidità Relativa;%;1238;Val Masino S.Martino;943;SO;17/12/2008;;N;5121068;548737;9.632170040598263;46.241440917190495;(46.24144091719049, 9.632170040598265);74.0;2016-08-06 16:50:00
106;9384;Umidità Relativa;%;1210;Ranzanico;512;BG;21/01/2009;;N;5070812;572501;9.932744037069186;45.78706141691158;(45.78706141691157, 9.932744037069186);46.0;2016-08-06 16:50:00
151;9386;Umidità Relativa;%;1221;Casnigo Campo Sportivo;501;BG;18/12/2008;;N;5075977;568047;9.876177757774835;45.833997692261356;(45.83399769226135, 9.876177757774837);41.0;2016-08-06 16:50:00
76;9387;Umidità Relativa;%;1212;Castione della Presolana;1180;BG;29/01/2009;;N;5086647;582441;10.063316766082297;45.928445516534396;(45.928445516534396, 10.063316766082295);51.0;2016-08-06 16:50:00
33;9388;Umidità Relativa;%;1202;Vercana;980;CO;19/02/2009;;N;5114303;525058;9.324676976148886;46.18184257309385;(46.18184257309385, 9.324676976148888);28.0;2016-08-06 16:50:00
47;9390;Umidità Relativa;%;1216;Valbondione;1784;BG;01/12/2000;;N;5101745;580328;10.03860699641828;46.06456080985733;(46.064560809857326, 10.038606996418281);64.0;2016-08-06 16:50:00
88;9391;Umidità Relativa;%;1218;Ardesio Valcanale;1002;BG;18/12/2008;;N;5088916;566917;9.8634321558842;45.95055277386598;(45.95055277386598, 9.8634321558842);55.0;2016-08-06 16:50:00
104;9395;Umidità Relativa;%;1209;Rota d'Imagna;674;BG;23/01/2009;;N;5076380;539709;9.511348909108976;45.839840095961094;(45.839840095961094, 9.511348909108976);45.0;2016-08-06 16:50:00
129;9396;Umidità Relativa;%;1201;Canevino;455;PV;17/12/2008;;N;4975743;521751;9.275661821158812;44.93478645163143;(44.93478645163143, 9.275661821158812);29.0;2016-08-06 16:50:00
142;9397;Umidità Relativa;%;1237;Monno;1728;BS;17/02/2009;;N;5122691;600885;10.308798780947582;46.25030387115852;(46.25030387115852, 10.308798780947582);48.0;2016-08-06 16:50:00
62;9398;Umidità Relativa;%;1220;Ponte di Legno Case Pirli;1640;BS;05/02/2009;;N;5128139;616030;10.506555903978098;46.29690081451489;(46.296900814514906, 10.506555903978098);49.0;2016-08-06 16:50:00
125;9399;Umidità Relativa;%;1222;Cavargna;1100;CO;17/12/2008;;N;5104225;508568;9.110834411077645;46.09154660527014;(46.09154660527014, 9.110834411077645);40.0;2016-08-06 16:50:00
135;9813;Umidità Relativa;%;670;Mantova S.Agnese;22;MN;30/12/2004;;N;5002356;641122;10.795564113707881;45.16056833010576;(45.16056833010576, 10.79556411370788);32.5;2016-08-06 16:50:00
79;9820;Umidità Relativa;%;671;Mantova Tridolino;22;MN;30/12/2004;;N;5001664;646147;10.859263911962307;45.15331958578557;(45.153319585785574, 10.859263911962309);32.7;2016-08-06 16:50:00
26;9939;Umidità Relativa;%;677;Cremona Via Fatebenefratelli;43;CR;10/04/2006;;N;4999315;582066;10.043836158369393;45.14254063221695;(45.14254063221695, 10.043836158369393);30.5;2016-08-06 16:50:00
73;10552;Umidità Relativa;%;554;Saronno v.Santuario;212;VA;06/07/2010;;N;5052520;503123;9.040063090678212;45.62621896083601;(45.626218960836006, 9.04006309067821);31.4;2016-08-06 16:50:00
78;10571;Umidità Relativa;%;1273;Val Masino Bagni;1191;SO;15/07/2011;;N;5121270;545980;9.596430583118105;46.2434509494086;(46.24345094940859, 9.596430583118106);66.0;2016-08-06 16:50:00
21;11008;Umidità Relativa;%;822;Valtorta;982;BG;10/11/2010;;N;5091256;541747;9.538885913106554;45.97360504520449;(45.9736050452045, 9.538885913106554);36.0;2016-08-06 16:50:00
16;11011;Umidità Relativa;%;912;Foppolo;1682;BG;22/11/2010;;N;5099046;558502;9.756104062898736;46.04248712086998;(46.04248712086998, 9.756104062898737);50.0;2016-08-06 16:50:00
131;11021;Umidità Relativa;%;1224;Cortenova;456;LC;22/12/2010;;N;5094947;529451;9.380396323644732;46.00746283105622;(46.00746283105623, 9.380396323644733);33.0;2016-08-06 16:50:00
63;11045;Umidità Relativa;%;1264;Sondrio v.Paribelli;290;SO;15/10/2010;;N;5113073;567873;9.879209924469905;46.16785244066512;(46.167852440665115, 9.879209924469903);32.3;2016-08-06 16:50:00
109;11158;Umidità Relativa;%;1230;San Giacomo Filippo Lago Truzzo;2064;SO;30/09/2011;;N;5134156;524616;9.319988190479972;46.36053123729497;(46.36053123729497, 9.319988190479972);44.0;2016-08-06 16:50:00
57;11984;Umidità Relativa;%;851;Treviso Bresciano Cavacca;1147;BS;10/01/2012;;N;5064493;616659;10.499165086906311;45.724156472747715;(45.724156472747715, 10.49916508690631);50.0;2016-08-06 16:50:00
32;14001;Umidità Relativa;%;1077;Oltre il Colle Zambla;1138;BG;13/01/2012;;N;5082261;561209;9.78893967466926;45.89119304589664;(45.891193045896635, 9.78893967466926);57.0;2016-08-06 16:50:00
67;14039;Umidità Relativa;%;836;Aprica;1950;SO;27/02/2012;;N;5109097;588704;10.148256664341748;46.1296816331299;(46.1296816331299, 10.148256664341748);53.0;2016-08-06 16:50:00
27;14055;Umidità Relativa;%;1324;Limone sul Garda;75;BS;13/03/2012;;N;5074143;639088;10.790041404031165;45.80682631535527;(45.80682631535527, 10.790041404031163);49.0;2016-08-06 16:50:00
102;14072;Umidità Relativa;%;1325;Collio Memmo;1069;BS;15/03/2012;;N;5073930;602209;10.315518370560412;45.81135931846123;(45.81135931846123, 10.315518370560413);59.0;2016-08-06 16:50:00
50;14089;Umidità Relativa;%;1326;Toscolano-Maderno;70;BS;22/03/2012;;N;5054923;626016;10.616881058085148;45.636411910077136;(45.63641191007713, 10.616881058085147);50.0;2016-08-06 16:50:00
56;14132;Umidità Relativa;%;1329;Lavena Ponte Tresa via della Boschiva;269;VA;18/04/2012;;N;5090913;488398;8.850242265176595;45.97169030131664;(45.971690301316634, 8.850242265176595);41.0;2016-08-06 16:50:00
139;14145;Umidità Relativa;%;1330;Olgiate Comasco v.Repubblica;400;CO;18/04/2012;;N;5068834;497872;8.972629613820207;45.773062080458466;(45.77306208045847, 8.972629613820208);39.0;2016-08-06 16:50:00
3;14165;Umidità Relativa;%;1219;Casalbuttano ed Uniti;56;CR;09/10/2012;;N;5011836;575599;9.96349170050652;45.25595602117305;(45.25595602117305, 9.96349170050652);37.0;2016-08-06 16:50:00
146;14191;Umidità Relativa;%;1342;Ponte in Valtellina Lago Reguzzo;2440;SO;13/10/2012;;N;5105228;574978;9.969993307685911;46.09651166584454;(46.09651166584453, 9.969993307685913);59.0;2016-08-06 16:50:00
91;14218;Umidità Relativa;%;1343;Lanzada Passo Marinelli;3032;SO;13/10/2012;;N;5133321;570414;9.915147774061634;46.349802050201205;(46.34980205020121, 9.915147774061634);66.0;2016-08-06 16:50:00
105;14238;Umidità Relativa;%;1345;Piazzatorre;966;BG;13/10/2012;;N;5093546;553689;9.693284786503217;45.993383586658275;(45.99338358665828, 9.693284786503215);47.0;2016-08-06 16:50:00
72;14265;Umidità Relativa;%;1346;Campodolcino Alpe Motta;1880;SO;17/10/2012;;N;5141127;528341;9.368831613649158;46.42312127327754;(46.42312127327754, 9.368831613649158);49.0;2016-08-06 16:50:00
8;14292;Umidità Relativa;%;1347;Barzio Piani di Bobbio;1713;LC;14/10/2012;;N;5089669;538832;9.50113070001856;45.95949319076256;(45.95949319076256, 9.50113070001856);48.0;2016-08-06 16:50:00
122;14320;Umidità Relativa;%;823;Piazza Brembana vivaio;510;BG;21/10/2012;;N;5088280;552145;9.672774505299234;45.94610999784736;(45.94610999784736, 9.672774505299234);44.0;2016-08-06 16:50:00
100;14351;Umidità Relativa;%;1359;Breno Lago Della Vacca;2410;BS;09/12/2012;;N;5090337;611798;10.442716428689312;45.957496834144656;(45.957496834144656, 10.442716428689312);68.0;2016-08-06 16:50:00
19;14370;Umidità Relativa;%;1360;Clusone SP 671;564;BG;14/11/2012;;N;5081243;572409;9.933128277592514;45.880943955869974;(45.88094395586997, 9.933128277592514);48.0;2016-08-06 16:50:00
11;14402;Umidità Relativa;%;1365;Bione;911;BS;18/11/2012;;N;5057931;603395;10.327362884611171;45.667218260274865;(45.667218260274865, 10.32736288461117);46.0;2016-08-06 16:50:00
7;14446;Umidità Relativa;%;1366;Porlezza torrente;291;CO;12/12/2012;;N;5098254;510895;9.140799377952805;46.037773169887096;(46.03777316988709, 9.140799377952803);22.0;2016-08-06 16:50:00
93;14473;Umidità Relativa;%;1367;Bagolino SP669;775;BS;12/12/2012;;N;5077140;612773;10.452195109199993;45.838595938116704;(45.8385959381167, 10.452195109199993);53.0;2016-08-06 16:50:00
118;14501;Umidità Relativa;%;1371;Brembilla;468;BG;19/03/2013;;N;5073646;547333;9.609252582119412;45.8147522883702;(45.8147522883702, 9.609252582119412);43.0;2016-08-06 16:50:00
84;14519;Umidità Relativa;%;1372;Garzeno;581;CO;25/07/2013;;N;5108761;519145;9.24783893889176;46.13215642760685;(46.132156427606844, 9.24783893889176);42.0;2016-08-06 16:50:00
149;14529;Umidità Relativa;%;1375;Varano Borghi;241;VA;27/03/2013;;N;5068133;477631;8.712323647148091;45.76639370741472;(45.766393707414714, 8.712323647148091);42.0;2016-08-06 16:50:00
13;14569;Umidità Relativa;%;1378;Tignale Oldesio;374;BS;23/07/2013;;N;5065781;633895;10.720923575669387;45.732623757275036;(45.73262375727504, 10.720923575669387);42.0;2016-08-06 16:50:00
116;14588;Umidità Relativa;%;1379;Gargnano;984;BS;15/07/2015;;N;5065317;625847;10.61740677213208;45.72996009420703;(45.72996009420703, 10.61740677213208);48.0;2016-08-06 16:50:00
130;14607;Umidità Relativa;%;1380;Tremezzo;309;CO;18/04/2013;;N;5092705;516580;9.214075142242038;45.98771660100418;(45.98771660100418, 9.214075142242038);35.0;2016-08-06 16:50:00
23;14627;Umidità Relativa;%;1206;Cavaria con Premezzo v. Cantalupa;274;VA;10/04/2013;;N;5059567;485026;8.807691068181896;45.68949337565816;(45.68949337565816, 8.807691068181894);37.0;2016-08-06 16:50:00
60;14648;Umidità Relativa;%;1382;Veddasca Monte Cadrigna;1302;VA;19/07/2013;;N;5102054;482122;8.768815132883134;46.071827075892976;(46.07182707589298, 8.768815132883134);44.0;2016-08-06 16:50:00
83;14667;Umidità Relativa;%;1383;Sarezzo v.della Fonte;290;BS;02/11/2012;;N;5057824;592468;10.187096209540632;45.667798979109534;(45.66779897910953, 10.187096209540632);54.0;2016-08-06 16:50:00
40;14687;Umidità Relativa;%;1420;Gordona;1362;SO;20/03/2014;;N;5126494;526127;9.339203152913957;46.29151911107429;(46.29151911107429, 9.339203152913957);45.0;2016-08-06 16:50:00
107;14728;Umidità Relativa;%;1545;San Siro;1285;CO;30/12/2014;;N;5102069;518430;9.238323435918225;46.071947417956;(46.071947417956004, 9.238323435918229);47.0;2016-08-06 16:50:00
75;14745;Umidità Relativa;%;1546;Rho Scalo Fiorenza - Prato;143;MI;24/02/2015;;N;5040479;506867;9.087923300302434;45.51781084679457;(45.51781084679456, 9.087923300302434);35.0;2016-08-06 16:50:00
17;14769;Umidità Relativa;%;1553;Mozzanica v.Donizetti;104;BG;20/07/2015;;N;5036208;553342;9.682488661964785;45.477361929661036;(45.47736192966103, 9.682488661964785);35.0;2016-08-06 16:50:00
34;19308;Umidità Relativa;%;1518;Dubino;993;SO;21/11/2014;;N;5112733;535367;9.458129833044824;46.16725552938442;(46.16725552938442, 9.458129833044824);48.3;2016-08-06 16:50:00
92;19346;Umidità Relativa;%;1560;Padenghe sul Garda;187;BS;14/07/2016;;N;5041631;617629;10.50610692701177;45.518284134623386;(45.51828413462338, 10.50610692701177);33.8;2016-08-06 16:50:00
128;19364;Umidità Relativa;%;1559;Dervio;198;LC;05/07/2016;;N;5101755;523618;9.305394454627988;46.068961817245466;(46.06896181724546, 9.305394454627988);32.1;2016-08-06 16:50:00
120;32238;Umidità Relativa;%;856;Fortunago;501;PV;01/08/2016;;N;4973248;515391;9.19498278361842;44.912492583318645;(44.91249258331864, 9.19498278361842);30.0;2016-08-06 16:50:00
99;32241;Umidità Relativa;%;884;Cuveglio;294;VA;01/08/2016;;N;5083338;480047;8.742764505384635;45.90332054442589;(45.90332054442589, 8.742764505384635);37.0;2016-08-06 16:50:00
12;32244;Umidità Relativa;%;885;Arcisate;383;VA;01/08/2016;;N;5076955;491501;8.890542676800244;45.84610717798399;(45.84610717798399, 8.890542676800244);32.0;2016-08-06 16:50:00
41;32247;Umidità Relativa;%;904;Paisco Loveno;816;BS;01/08/2016;;N;5103599;600282;10.2969342091421;46.078607760767355;(46.07860776076735, 10.296934209142101);50.0;2016-08-06 16:50:00
141;32250;Umidità Relativa;%;876;Caino;428;BS;01/08/2016;;N;5051536;603100;10.32222236530351;45.60971669991578;(45.609716699915786, 10.32222236530351);40.0;2016-08-06 16:50:00
