COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
2;25,54125;41,68472222;53,32604457;71,82576602;45,565;21,08222222;;;;;;;;
3;41,68472222;53,32604457;71,82576602;45,565;21,08222222;30,09722222;;;;;;;;
3;53,32604457;71,82576602;45,565;21,08222222;30,09722222;32,21390821;;;;;;;;
0;71,82576602;45,565;21,08222222;30,09722222;32,21390821;39,04777778;;;;;;;;
3;45,565;21,08222222;30,09722222;32,21390821;39,04777778;48,32097222;;;;;;;;
8;21,08222222;30,09722222;32,21390821;39,04777778;48,32097222;49,37583333;;;;;;;;
3;30,09722222;32,21390821;39,04777778;48,32097222;49,37583333;46,85527778;;;;;;;;
5;32,21390821;39,04777778;48,32097222;49,37583333;46,85527778;34,82294854;;;;;;;;
4;39,04777778;48,32097222;49,37583333;46,85527778;34,82294854;37,78319444;;;;;;;;
6;48,32097222;49,37583333;46,85527778;34,82294854;37,78319444;42,98277778;;;;;;;;
3;49,37583333;46,85527778;34,82294854;37,78319444;42,98277778;77,74972222;;;;;;;;
4;46,85527778;34,82294854;37,78319444;42,98277778;77,74972222;74,64832869;;;;;;;;
4;34,82294854;37,78319444;42,98277778;77,74972222;74,64832869;52,12152778;;;;;;;;
3;37,78319444;42,98277778;77,74972222;74,64832869;52,12152778;47,44041667;;;;;;;;
4;42,98277778;77,74972222;74,64832869;52,12152778;47,44041667;42,52444444;;;;;;;;
3;77,74972222;74,64832869;52,12152778;47,44041667;42,52444444;42,02902778;;;;;;;;
0;74,64832869;52,12152778;47,44041667;42,52444444;42,02902778;46,90333333;;;;;;;;
2;52,12152778;47,44041667;42,52444444;42,02902778;46,90333333;49,64041667;;;;;;;;
2;47,44041667;42,52444444;42,02902778;46,90333333;49,64041667;67,01861111;;;;;;;;
4;42,52444444;42,02902778;46,90333333;49,64041667;67,01861111;77,03833333;;;;;;;;
4;42,02902778;46,90333333;49,64041667;67,01861111;77,03833333;96,50263889;;;;;;;;
4;46,90333333;49,64041667;67,01861111;77,03833333;96,50263889;64,58581363;;;;;;;;
3;49,64041667;67,01861111;77,03833333;96,50263889;64,58581363;59,99180556;;;;;;;;
2;67,01861111;77,03833333;96,50263889;64,58581363;59,99180556;71,03847222;;;;;;;;
4;77,03833333;96,50263889;64,58581363;59,99180556;71,03847222;80,00375522;;;;;;;;
