COUNT;Valore;Valore;Valore;Valore;Valore;Valore;;;;;;;;
9;20,05341831;23,03055556;26,17881944;27,48321759;28,64872685;30,07995365;;;;;;;;
1;23,03055556;26,17881944;27,48321759;28,64872685;30,07995365;30,86793981;;;;;;;;
1;26,17881944;27,48321759;28,64872685;30,07995365;30,86793981;30,47997685;;;;;;;;
3;27,48321759;28,64872685;30,07995365;30,86793981;30,47997685;28,36446759;;;;;;;;
3;28,64872685;30,07995365;30,86793981;30,47997685;28,36446759;22,03541667;;;;;;;;
2;30,07995365;30,86793981;30,47997685;28,36446759;22,03541667;26,64285714;;;;;;;;
1;30,86793981;30,47997685;28,36446759;22,03541667;26,64285714;28,47792056;;;;;;;;
2;30,47997685;28,36446759;22,03541667;26,64285714;28,47792056;29,63859649;;;;;;;;
2;28,36446759;22,03541667;26,64285714;28,47792056;29,63859649;25,14673784;;;;;;;;
1;22,03541667;26,64285714;28,47792056;29,63859649;25,14673784;22,50011614;;;;;;;;
4;26,64285714;28,47792056;29,63859649;25,14673784;22,50011614;20,51053241;;;;;;;;
2;28,47792056;29,63859649;25,14673784;22,50011614;20,51053241;22,90647059;;;;;;;;
1;29,63859649;25,14673784;22,50011614;20,51053241;22,90647059;21,94105263;;;;;;;;
0;25,14673784;22,50011614;20,51053241;22,90647059;21,94105263;20,92429907;;;;;;;;
4;22,50011614;20,51053241;22,90647059;21,94105263;20,92429907;23,02787456;;;;;;;;
0;20,51053241;22,90647059;21,94105263;20,92429907;23,02787456;22,26226636;;;;;;;;
4;22,90647059;21,94105263;20,92429907;23,02787456;22,26226636;23,10608187;;;;;;;;
1;21,94105263;20,92429907;23,02787456;22,26226636;23,10608187;19,68014019;;;;;;;;
4;20,92429907;23,02787456;22,26226636;23,10608187;19,68014019;19,12268409;;;;;;;;
4;23,02787456;22,26226636;23,10608187;19,68014019;19,12268409;21,99559524;;;;;;;;
2;22,26226636;23,10608187;19,68014019;19,12268409;21,99559524;23,24836449;;;;;;;;
3;23,10608187;19,68014019;19,12268409;21,99559524;23,24836449;24,47609988;;;;;;;;
4;19,68014019;19,12268409;21,99559524;23,24836449;24,47609988;25,71740167;;;;;;;;
1;19,12268409;21,99559524;23,24836449;24,47609988;25,71740167;26,94947368;;;;;;;;
0;21,99559524;23,24836449;24,47609988;25,71740167;26,94947368;27,2532634;;;;;;;;
1;23,24836449;24,47609988;25,71740167;26,94947368;27,2532634;27,25058962;;;;;;;;
2;24,47609988;25,71740167;26,94947368;27,2532634;27,25058962;24,9778679;;;;;;;;
4;25,71740167;26,94947368;27,2532634;27,25058962;24,9778679;24,26152047;;;;;;;;
2;26,94947368;27,2532634;27,25058962;24,9778679;24,26152047;23,06690058;;;;;;;;
0;27,2532634;27,25058962;24,9778679;24,26152047;23,06690058;22,45462963;;;;;;;;
5;27,25058962;24,9778679;24,26152047;23,06690058;22,45462963;19,81875;;;;;;;;
2;24,9778679;24,26152047;23,06690058;22,45462963;19,81875;19,4337963;;;;;;;;
4;24,26152047;23,06690058;22,45462963;19,81875;19,4337963;19,6193287;;;;;;;;
3;23,06690058;22,45462963;19,81875;19,4337963;19,6193287;20,31877173;;;;;;;;
5;22,45462963;19,81875;19,4337963;19,6193287;20,31877173;19,74143519;;;;;;;;
1;19,81875;19,4337963;19,6193287;20,31877173;19,74143519;19,7787037;;;;;;;;
2;19,4337963;19,6193287;20,31877173;19,74143519;19,7787037;18,97893519;;;;;;;;
2;19,6193287;20,31877173;19,74143519;19,7787037;18,97893519;20,68449074;;;;;;;;
1;20,31877173;19,74143519;19,7787037;18,97893519;20,68449074;18,47152778;;;;;;;;
2;19,74143519;19,7787037;18,97893519;20,68449074;18,47152778;20,00393519;;;;;;;;
2;19,7787037;18,97893519;20,68449074;18,47152778;20,00393519;21,26034884;;;;;;;;
5;18,97893519;20,68449074;18,47152778;20,00393519;21,26034884;19,21378911;;;;;;;;
6;20,68449074;18,47152778;20,00393519;21,26034884;19,21378911;22,03101852;;;;;;;;
3;18,47152778;20,00393519;21,26034884;19,21378911;22,03101852;22,17511574;;;;;;;;
4;20,00393519;21,26034884;19,21378911;22,03101852;22,17511574;20,41053241;;;;;;;;
3;21,26034884;19,21378911;22,03101852;22,17511574;20,41053241;20,47025463;;;;;;;;
3;19,21378911;22,03101852;22,17511574;20,41053241;20,47025463;19,58781903;;;;;;;;
6;22,03101852;22,17511574;20,41053241;20,47025463;19,58781903;18,71979167;;;;;;;;
3;22,17511574;20,41053241;20,47025463;19,58781903;18,71979167;13,60810185;;;;;;;;
3;20,41053241;20,47025463;19,58781903;18,71979167;13,60810185;15,73020833;;;;;;;;
4;20,47025463;19,58781903;18,71979167;13,60810185;15,73020833;18,32407407;;;;;;;;
5;19,58781903;18,71979167;13,60810185;15,73020833;18,32407407;19,03055556;;;;;;;;
4;18,71979167;13,60810185;15,73020833;18,32407407;19,03055556;18,06581692;;;;;;;;
3;13,60810185;15,73020833;18,32407407;19,03055556;18,06581692;17,33865741;;;;;;;;
4;15,73020833;18,32407407;19,03055556;18,06581692;17,33865741;15,61516204;;;;;;;;
8;18,32407407;19,03055556;18,06581692;17,33865741;15,61516204;15,65729167;;;;;;;;
2;19,03055556;18,06581692;17,33865741;15,61516204;15,65729167;13,95260718;;;;;;;;
3;18,06581692;17,33865741;15,61516204;15,65729167;13,95260718;14,10381944;;;;;;;;
5;17,33865741;15,61516204;15,65729167;13,95260718;14,10381944;15,05383721;;;;;;;;
1;15,61516204;15,65729167;13,95260718;14,10381944;15,05383721;16,30914352;;;;;;;;
4;15,65729167;13,95260718;14,10381944;15,05383721;16,30914352;16,884375;;;;;;;;
3;13,95260718;14,10381944;15,05383721;16,30914352;16,884375;16,08611111;;;;;;;;
9;14,10381944;15,05383721;16,30914352;16,884375;16,08611111;17,16894554;;;;;;;;
