COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;;
2;29;4;20,33333333;24;22,33333333;32;28;51;2015;;;;;;;;
4;30;4;24;22,33333333;32;28;51;60;2015;;;;;;;;
4;1;5;22,33333333;32;28;51;60;41;2015;;;;;;;;
2;2;5;32;28;51;60;41;37,66666667;2015;;;;;;;;
2;3;5;28;51;60;41;37,66666667;18,33333333;2015;;;;;;;;
3;4;5;51;60;41;37,66666667;18,33333333;14,33333333;2015;;;;;;;;
8;5;5;60;41;37,66666667;18,33333333;14,33333333;29,33333333;2015;;;;;;;;
6;6;5;41;37,66666667;18,33333333;14,33333333;29,33333333;31,66666667;2015;;;;;;;;
1;7;5;37,66666667;18,33333333;14,33333333;29,33333333;31,66666667;33;2015;;;;;;;;
1;8;5;18,33333333;14,33333333;29,33333333;31,66666667;33;32;2015;;;;;;;;
3;9;5;14,33333333;29,33333333;31,66666667;33;32;26,66666667;2015;;;;;;;;
0;10;5;29,33333333;31,66666667;33;32;26,66666667;12,66666667;2015;;;;;;;;
2;11;5;31,66666667;33;32;26,66666667;12,66666667;18,33333333;2015;;;;;;;;
3;12;5;33;32;26,66666667;12,66666667;18,33333333;29,66666667;2015;;;;;;;;
5;13;5;32;26,66666667;12,66666667;18,33333333;29,66666667;25,66666667;2015;;;;;;;;
5;14;5;26,66666667;12,66666667;18,33333333;29,66666667;25,66666667;12,33333333;2015;;;;;;;;
5;15;5;12,66666667;18,33333333;29,66666667;25,66666667;12,33333333;11,66666667;2015;;;;;;;;
3;16;5;18,33333333;29,66666667;25,66666667;12,33333333;11,66666667;16,33333333;2015;;;;;;;;
3;17;5;29,66666667;25,66666667;12,33333333;11,66666667;16,33333333;14,66666667;2015;;;;;;;;
0;18;5;25,66666667;12,33333333;11,66666667;16,33333333;14,66666667;8,333333333;2015;;;;;;;;
4;19;5;12,33333333;11,66666667;16,33333333;14,66666667;8,333333333;16,33333333;2015;;;;;;;;
1;20;5;11,66666667;16,33333333;14,66666667;8,333333333;16,33333333;19,33333333;2015;;;;;;;;
5;21;5;16,33333333;14,66666667;8,333333333;16,33333333;19,33333333;14,33333333;2015;;;;;;;;
4;22;5;14,66666667;8,333333333;16,33333333;19,33333333;14,33333333;21,66666667;2015;;;;;;;;
0;23;5;8,333333333;16,33333333;19,33333333;14,33333333;21,66666667;27,33333333;2015;;;;;;;;
