COUNT;DAY;MONTH;Valore;Valore;Valore;Valore;Valore;Valore;YEAR;;;;;;;
3;4;8;0,852083333;0,870833333;0,892708333;0,873404255;0,779166667;0,708333333;2015;;;;;;;
3;5;8;0,870833333;0,892708333;0,873404255;0,779166667;0,708333333;0,819791667;2015;;;;;;;
2;6;8;0,892708333;0,873404255;0,779166667;0,708333333;0,819791667;0,878125;2015;;;;;;;
1;7;8;0,873404255;0,779166667;0,708333333;0,819791667;0,878125;0,93125;2015;;;;;;;
2;8;8;0,779166667;0,708333333;0,819791667;0,878125;0,93125;0,833333333;2015;;;;;;;
2;9;8;0,708333333;0,819791667;0,878125;0,93125;0,833333333;0,860416667;2015;;;;;;;
1;10;8;0,819791667;0,878125;0,93125;0,833333333;0,860416667;0,758333333;2015;;;;;;;
4;11;8;0,878125;0,93125;0,833333333;0,860416667;0,758333333;0,672916667;2015;;;;;;;
2;12;8;0,93125;0,833333333;0,860416667;0,758333333;0,672916667;0,686458333;2015;;;;;;;
1;13;8;0,833333333;0,860416667;0,758333333;0,672916667;0,686458333;0,723958333;2015;;;;;;;
0;14;8;0,860416667;0,758333333;0,672916667;0,686458333;0,723958333;0,75;2015;;;;;;;
4;15;8;0,758333333;0,672916667;0,686458333;0,723958333;0,75;0,778125;2015;;;;;;;
0;16;8;0,672916667;0,686458333;0,723958333;0,75;0,778125;0,80625;2015;;;;;;;
4;17;8;0,686458333;0,723958333;0,75;0,778125;0,80625;0,759375;2015;;;;;;;
1;18;8;0,723958333;0,75;0,778125;0,80625;0,759375;0,785416667;2015;;;;;;;
4;19;8;0,75;0,778125;0,80625;0,759375;0,785416667;0,8625;2015;;;;;;;
4;20;8;0,778125;0,80625;0,759375;0,785416667;0,8625;0,826041667;2015;;;;;;;
2;21;8;0,80625;0,759375;0,785416667;0,8625;0,826041667;0,860416667;2015;;;;;;;
3;22;8;0,759375;0,785416667;0,8625;0,826041667;0,860416667;0,936458333;2015;;;;;;;
4;23;8;0,785416667;0,8625;0,826041667;0,860416667;0,936458333;0,934375;2015;;;;;;;
1;24;8;0,8625;0,826041667;0,860416667;0,936458333;0,934375;0,961458333;2015;;;;;;;
0;25;8;0,826041667;0,860416667;0,936458333;0,934375;0,961458333;0,973958333;2015;;;;;;;
1;26;8;0,860416667;0,936458333;0,934375;0,961458333;0,973958333;0,895833333;2015;;;;;;;
2;27;8;0,936458333;0,934375;0,961458333;0,973958333;0,895833333;0,8875;2015;;;;;;;
4;28;8;0,934375;0,961458333;0,973958333;0,895833333;0,8875;0,842708333;2015;;;;;;;
2;29;8;0,961458333;0,973958333;0,895833333;0,8875;0,842708333;0,840625;2015;;;;;;;
0;30;8;0,973958333;0,895833333;0,8875;0,842708333;0,840625;0,829166667;2015;;;;;;;
5;31;8;0,895833333;0,8875;0,842708333;0,840625;0,829166667;0,815625;2015;;;;;;;
2;1;9;0,8875;0,842708333;0,840625;0,829166667;0,815625;0,716666667;2015;;;;;;;
4;2;9;0,842708333;0,840625;0,829166667;0,815625;0,716666667;0,861458333;2015;;;;;;;
3;3;9;0,840625;0,829166667;0,815625;0,716666667;0,861458333;0,846875;2015;;;;;;;
5;4;9;0,829166667;0,815625;0,716666667;0,861458333;0,846875;0,846875;2015;;;;;;;
1;5;9;0,815625;0,716666667;0,861458333;0,846875;0,846875;0,827083333;2015;;;;;;;
2;6;9;0,716666667;0,861458333;0,846875;0,846875;0,827083333;0,833333333;2015;;;;;;;
2;7;9;0,861458333;0,846875;0,846875;0,827083333;0,833333333;0,883333333;2015;;;;;;;
1;8;9;0,846875;0,846875;0,827083333;0,833333333;0,883333333;0,842708333;2015;;;;;;;
2;9;9;0,846875;0,827083333;0,833333333;0,883333333;0,842708333;0,986458333;2015;;;;;;;
2;10;9;0,827083333;0,833333333;0,883333333;0,842708333;0,986458333;1,114583333;2015;;;;;;;
5;11;9;0,833333333;0,883333333;0,842708333;0,986458333;1,114583333;1,234375;2015;;;;;;;
6;12;9;0,883333333;0,842708333;0,986458333;1,114583333;1,234375;1,203125;2015;;;;;;;
3;13;9;0,842708333;0,986458333;1,114583333;1,234375;1,203125;1,101041667;2015;;;;;;;
4;14;9;0,986458333;1,114583333;1,234375;1,203125;1,101041667;0,880208333;2015;;;;;;;
3;15;9;1,114583333;1,234375;1,203125;1,101041667;0,880208333;0,822916667;2015;;;;;;;
3;16;9;1,234375;1,203125;1,101041667;0,880208333;0,822916667;1,04375;2015;;;;;;;
6;17;9;1,203125;1,101041667;0,880208333;0,822916667;1,04375;0,934375;2015;;;;;;;
