;IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;Provincia;Comune;Storico;DataStart;DataStop;Utm_Nord;UTM_Est;lat;lng;location;Valore;DATE_TIME
138;10274;Ossidi di Azoto;µg/m³;681;Moggio;1194.0;LC;Moggio;N;17/03/2007;;5084478;538586;45.91278752030293;9.497538167653424;(45.91278752030292, 9.497538167653424);10.7;2016-11-14 11:00:00
61;10278;Ossidi di Azoto;µg/m³;705;Milano - Pascal Città Studi;122.0;MI;Milano;N;16/06/2007;;5036190;518405;45.47899606168744;9.235491038497502;(45.47899606168744, 9.235491038497502);55.6;2016-11-14 11:00:00
92;10285;Ossidi di Azoto;µg/m³;706;Lecco - Via Sora;272.0;LC;Lecco;N;28/06/2007;;5078987;531045;45.86374884127965;9.399950344681852;(45.86374884127965, 9.399950344681852);88.1;2016-11-14 11:00:00
86;10323;Ossidi di Azoto;µg/m³;707;Mortara;108.0;PV;Mortara;S;04/10/2007;01/01/2017;5011280;479925;45.25472872078882;8.74415437971093;(45.254728720788826, 8.74415437971093);26.3;2016-11-14 11:00:00
93;10329;Ossidi di Azoto;µg/m³;708;Parona;112.0;PV;Parona;N;01/10/2007;;5014300;480733;45.281935610357905;8.754334594539825;(45.281935610357905, 8.754334594539825);32.1;2016-11-14 11:00:00
135;10333;Ossidi di Azoto;µg/m³;709;Vigevano - via Valletta;109.0;PV;Vigevano;N;08/08/2007;;5016690;487833;45.303607869655714;8.844804609965438;(45.303607869655714, 8.844804609965438);21.1;2016-11-14 11:00:00
130;10406;Ossidi di Azoto;µg/m³;1263;Villa di Serio;280.0;BG;Villa di Serio;S;08/10/2008;01/01/2017;5064969;557447;45.73589144532835;9.738394788043443;(45.73589144532835, 9.738394788043442);55.1;2016-11-14 11:00:00
157;10431;Ossidi di Azoto;µg/m³;1264;Sondrio - via Paribelli;290.0;SO;Sondrio;N;11/11/2008;;5113073;567873;46.16785244066512;9.879209924469905;(46.167852440665115, 9.879209924469903);51.6;2016-11-14 11:00:00
1;10451;Ossidi di Azoto;µg/m³;1265;Lodi - S. Alberto;76.0;LO;Lodi;N;03/08/2009;;5016706;538829;45.30278350309578;9.495273696926324;(45.302783503095775, 9.495273696926324);39.9;2016-11-14 11:00:00
106;10457;Ossidi di Azoto;µg/m³;1266;Bertonico;65.0;LO;Bertonico;N;03/08/2009;;5009105;552297;45.23349364130374;9.666250375296034;(45.23349364130374, 9.666250375296032);29.5;2016-11-14 11:00:00
111;10473;Ossidi di Azoto;µg/m³;1267;Turano;65.0;LO;Turano Lodigiano;S;03/08/2009;31/03/2017;5010942;548751;45.25028308918456;9.62125819274314;(45.25028308918456, 9.62125819274314);78.0;2016-11-14 11:00:00
0;10505;Ossidi di Azoto;µg/m³;1269;Dalmine - via Verdi;207.0;BG;Dalmine;N;12/02/2010;;5055304;546847;45.649702512362474;9.601223338785262;(45.64970251236247, 9.601223338785262);40.7;2016-11-14 11:00:00
51;10583;Ossidi di Azoto;µg/m³;1274;Perledo;212.0;LC;Perledo;N;01/09/2010;;5095846;522171;46.01582830438375;9.286409208680807;(46.01582830438376, 9.286409208680807);55.9;2016-11-14 11:00:00
10;12016;Ossidi di Azoto;µg/m³;1297;Spinadesco;48.0;CR;Spinadesco;N;08/02/2011;;5000087;573153;45.15046886985682;9.930596472272326;(45.150468869856816, 9.930596472272326);18.2;2016-11-14 11:00:00
98;12587;Ossidi di Azoto;µg/m³;1303;Cremona - via Gerre Borghi;36.0;CR;Cremona;S;14/10/2011;01/01/2017;4995675;584111;45.10953938027215;10.069230734956498;(45.10953938027215, 10.069230734956498);24.3;2016-11-14 11:00:00
115;17285;Ossidi di Azoto;µg/m³;1374;Monza Parco;181.0;MB;Monza;N;01/05/2013;;5049780;521452;45.60123219955139;9.27507265782848;(45.60123219955139, 9.27507265782848);210.9;2016-11-14 11:00:00
26;30159;Ossidi di Azoto;µg/m³;655;Darfo (aria);221.0;BS;Darfo Boario Terme;N;23/01/2013;;5080789;591371;45.87460210989037;10.177356808981381;(45.87460210989037, 10.17735680898138);126.0;2016-11-14 11:00:00
