DAY;MONTH;YEAR;Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;
6;5;2017;0,941666667;0,865277778;1,027777778;0,869444444;0,826388889;0,904166667;9;;;;;;;
7;5;2017;0,865277778;1,027777778;0,869444444;0,826388889;0,904166667;0,822222222;6;;;;;;;
8;5;2017;1,027777778;0,869444444;0,826388889;0,904166667;0,822222222;0,730555556;7;;;;;;;
9;5;2017;0,869444444;0,826388889;0,904166667;0,822222222;0,730555556;0,676388889;4;;;;;;;
10;5;2017;0,826388889;0,904166667;0,822222222;0,730555556;0,676388889;0,769444444;2;;;;;;;
11;5;2017;0,904166667;0,822222222;0,730555556;0,676388889;0,769444444;0,7625;2;;;;;;;
12;5;2017;0,822222222;0,730555556;0,676388889;0,769444444;0,7625;0,797222222;10;;;;;;;
13;5;2017;0,730555556;0,676388889;0,769444444;0,7625;0,797222222;0,815277778;5;;;;;;;
14;5;2017;0,676388889;0,769444444;0,7625;0,797222222;0,815277778;0,768055556;3;;;;;;;
15;5;2017;0,769444444;0,7625;0,797222222;0,815277778;0,768055556;0,661111111;5;;;;;;;
16;5;2017;0,7625;0,797222222;0,815277778;0,768055556;0,661111111;0,645833333;6;;;;;;;
17;5;2017;0,797222222;0,815277778;0,768055556;0,661111111;0,645833333;0,747222222;5;;;;;;;
18;5;2017;0,815277778;0,768055556;0,661111111;0,645833333;0,747222222;0,673611111;4;;;;;;;
19;5;2017;0,768055556;0,661111111;0,645833333;0,747222222;0,673611111;0,752777778;4;;;;;;;
20;5;2017;0,661111111;0,645833333;0,747222222;0,673611111;0,752777778;0,775;2;;;;;;;
21;5;2017;0,645833333;0,747222222;0,673611111;0,752777778;0,775;0,6875;0;;;;;;;
22;5;2017;0,747222222;0,673611111;0,752777778;0,775;0,6875;0,672222222;5;;;;;;;
23;5;2017;0,673611111;0,752777778;0,775;0,6875;0,672222222;0,618055556;4;;;;;;;
24;5;2017;0,752777778;0,775;0,6875;0,672222222;0,618055556;0,663888889;3;;;;;;;
25;5;2017;0,775;0,6875;0,672222222;0,618055556;0,663888889;0,602777778;4;;;;;;;
26;5;2017;0,6875;0,672222222;0,618055556;0,663888889;0,602777778;0,547222222;5;;;;;;;
27;5;2017;0,672222222;0,618055556;0,663888889;0,602777778;0,547222222;0,534722222;6;;;;;;;
28;5;2017;0,618055556;0,663888889;0,602777778;0,547222222;0,534722222;0,465277778;5;;;;;;;
29;5;2017;0,663888889;0,602777778;0,547222222;0,534722222;0,465277778;0,481944444;6;;;;;;;
30;5;2017;0,602777778;0,547222222;0,534722222;0,465277778;0,481944444;0,505555556;8;;;;;;;
31;5;2017;0,547222222;0,534722222;0,465277778;0,481944444;0,505555556;0,686111111;5;;;;;;;
1;6;2017;0,534722222;0,465277778;0,481944444;0,505555556;0,686111111;0,6875;2;;;;;;;
2;6;2017;0,465277778;0,481944444;0,505555556;0,686111111;0,6875;0,584722222;1;;;;;;;
3;6;2017;0,481944444;0,505555556;0,686111111;0,6875;0,584722222;0,616666667;2;;;;;;;
4;6;2017;0,505555556;0,686111111;0,6875;0,584722222;0,616666667;0,690277778;3;;;;;;;
5;6;2017;0,686111111;0,6875;0,584722222;0,616666667;0,690277778;0,694444444;3;;;;;;;
6;6;2017;0,6875;0,584722222;0,616666667;0,690277778;0,694444444;0,654166667;7;;;;;;;
7;6;2017;0,584722222;0,616666667;0,690277778;0,694444444;0,654166667;0,673611111;6;;;;;;;
8;6;2017;0,616666667;0,690277778;0,694444444;0,654166667;0,673611111;0,708333333;6;;;;;;;
9;6;2017;0,690277778;0,694444444;0,654166667;0,673611111;0,708333333;0,706944444;2;;;;;;;
10;6;2017;0,694444444;0,654166667;0,673611111;0,708333333;0,706944444;0,765277778;3;;;;;;;
11;6;2017;0,654166667;0,673611111;0,708333333;0,706944444;0,765277778;0,761111111;7;;;;;;;
12;6;2017;0,673611111;0,708333333;0,706944444;0,765277778;0,761111111;0,648611111;4;;;;;;;
13;6;2017;0,708333333;0,706944444;0,765277778;0,761111111;0,648611111;0,5625;3;;;;;;;
14;6;2017;0,706944444;0,765277778;0,761111111;0,648611111;0,5625;0,629166667;3;;;;;;;
15;6;2017;0,765277778;0,761111111;0,648611111;0,5625;0,629166667;0,652777778;5;;;;;;;
16;6;2017;0,761111111;0,648611111;0,5625;0,629166667;0,652777778;0,580555556;2;;;;;;;
17;6;2017;0,648611111;0,5625;0,629166667;0,652777778;0,580555556;0,622222222;1;;;;;;;
18;6;2017;0,5625;0,629166667;0,652777778;0,580555556;0,622222222;0,577777778;3;;;;;;;
19;6;2017;0,629166667;0,652777778;0,580555556;0,622222222;0,577777778;0,547222222;0;;;;;;;
20;6;2017;0,652777778;0,580555556;0,622222222;0,577777778;0,547222222;0,563888889;3;;;;;;;
21;6;2017;0,580555556;0,622222222;0,577777778;0,547222222;0,563888889;0,647222222;7;;;;;;;
22;6;2017;0,622222222;0,577777778;0,547222222;0,563888889;0,647222222;0,681944444;7;;;;;;;
23;6;2017;0,577777778;0,547222222;0,563888889;0,647222222;0,681944444;0,6625;8;;;;;;;
24;6;2017;0,547222222;0,563888889;0,647222222;0,681944444;0,6625;0,652777778;5;;;;;;;
25;6;2017;0,563888889;0,647222222;0,681944444;0,6625;0,652777778;0,5625;5;;;;;;;
26;6;2017;0,647222222;0,681944444;0,6625;0,652777778;0,5625;0,494444444;1;;;;;;;
27;6;2017;0,681944444;0,6625;0,652777778;0,5625;0,494444444;0,479166667;4;;;;;;;
28;6;2017;0,6625;0,652777778;0,5625;0,494444444;0,479166667;0,631944444;2;;;;;;;
29;6;2017;0,652777778;0,5625;0,494444444;0,479166667;0,631944444;0,643055556;3;;;;;;;
30;6;2017;0,5625;0,494444444;0,479166667;0,631944444;0,643055556;0,661111111;2;;;;;;;
1;7;2017;0,494444444;0,479166667;0,631944444;0,643055556;0,661111111;0,625;4;;;;;;;
2;7;2017;0,479166667;0,631944444;0,643055556;0,661111111;0,625;0,605555556;4;;;;;;;
