Valore;Valore;Valore;Valore;Valore;Valore;COUNT;;;;;;;;
57,11680556;57,37736111;58,60833333;60,00805556;44,32194444;51,20972222;6;;;;;;;;
57,37736111;58,60833333;60,00805556;44,32194444;51,20972222;38,60737463;2;;;;;;;;
58,60833333;60,00805556;44,32194444;51,20972222;38,60737463;16,68968254;1;;;;;;;;
60,00805556;44,32194444;51,20972222;38,60737463;16,68968254;20,20351682;1;;;;;;;;
44,32194444;51,20972222;38,60737463;16,68968254;20,20351682;26,17065527;2;;;;;;;;
51,20972222;38,60737463;16,68968254;20,20351682;26,17065527;45,78555556;4;;;;;;;;
38,60737463;16,68968254;20,20351682;26,17065527;45,78555556;56,86555556;2;;;;;;;;
16,68968254;20,20351682;26,17065527;45,78555556;56,86555556;61,69097222;5;;;;;;;;
20,20351682;26,17065527;45,78555556;56,86555556;61,69097222;65,44861111;8;;;;;;;;
26,17065527;45,78555556;56,86555556;61,69097222;65,44861111;87,67101865;5;;;;;;;;
45,78555556;56,86555556;61,69097222;65,44861111;87,67101865;93,61051005;2;;;;;;;;
56,86555556;61,69097222;65,44861111;87,67101865;93,61051005;56,39055556;6;;;;;;;;
61,69097222;65,44861111;87,67101865;93,61051005;56,39055556;40,12777778;5;;;;;;;;
65,44861111;87,67101865;93,61051005;56,39055556;40,12777778;44,22236111;5;;;;;;;;
87,67101865;93,61051005;56,39055556;40,12777778;44,22236111;75,52016807;6;;;;;;;;
93,61051005;56,39055556;40,12777778;44,22236111;75,52016807;76,55958333;7;;;;;;;;
56,39055556;40,12777778;44,22236111;75,52016807;76,55958333;82,71737288;8;;;;;;;;
40,12777778;44,22236111;75,52016807;76,55958333;82,71737288;82,57663818;3;;;;;;;;
44,22236111;75,52016807;76,55958333;82,71737288;82,57663818;63,87416667;4;;;;;;;;
75,52016807;76,55958333;82,71737288;82,57663818;63,87416667;77,17430556;3;;;;;;;;
76,55958333;82,71737288;82,57663818;63,87416667;77,17430556;84,105;7;;;;;;;;
82,71737288;82,57663818;63,87416667;77,17430556;84,105;64,49375;8;;;;;;;;
82,57663818;63,87416667;77,17430556;84,105;64,49375;61,00263889;5;;;;;;;;
63,87416667;77,17430556;84,105;64,49375;61,00263889;67,42194444;11;;;;;;;;
77,17430556;84,105;64,49375;61,00263889;67,42194444;79,97513889;9;;;;;;;;
84,105;64,49375;61,00263889;67,42194444;79,97513889;81,64986111;6;;;;;;;;
64,49375;61,00263889;67,42194444;79,97513889;81,64986111;66,53180556;7;;;;;;;;
61,00263889;67,42194444;79,97513889;81,64986111;66,53180556;64,4175;4;;;;;;;;
67,42194444;79,97513889;81,64986111;66,53180556;64,4175;56,20263889;2;;;;;;;;
79,97513889;81,64986111;66,53180556;64,4175;56,20263889;46,89472222;2;;;;;;;;
81,64986111;66,53180556;64,4175;56,20263889;46,89472222;45,25375;10;;;;;;;;
66,53180556;64,4175;56,20263889;46,89472222;45,25375;42,70069444;5;;;;;;;;
64,4175;56,20263889;46,89472222;45,25375;42,70069444;64,91916667;3;;;;;;;;
56,20263889;46,89472222;45,25375;42,70069444;64,91916667;53,77944444;5;;;;;;;;
46,89472222;45,25375;42,70069444;64,91916667;53,77944444;44,58;6;;;;;;;;
45,25375;42,70069444;64,91916667;53,77944444;44,58;39,66;5;;;;;;;;
42,70069444;64,91916667;53,77944444;44,58;39,66;39,48888889;4;;;;;;;;
64,91916667;53,77944444;44,58;39,66;39,48888889;39,69652778;4;;;;;;;;
53,77944444;44,58;39,66;39,48888889;39,69652778;50,93;2;;;;;;;;
44,58;39,66;39,48888889;39,69652778;50,93;39,38180556;0;;;;;;;;
39,66;39,48888889;39,69652778;50,93;39,38180556;39,79986111;5;;;;;;;;
39,48888889;39,69652778;50,93;39,38180556;39,79986111;38,70930556;4;;;;;;;;
39,69652778;50,93;39,38180556;39,79986111;38,70930556;38,73013889;3;;;;;;;;
50,93;39,38180556;39,79986111;38,70930556;38,73013889;37,22773109;4;;;;;;;;
39,38180556;39,79986111;38,70930556;38,73013889;37,22773109;34,77930556;5;;;;;;;;
39,79986111;38,70930556;38,73013889;37,22773109;34,77930556;37,81416667;6;;;;;;;;
38,70930556;38,73013889;37,22773109;34,77930556;37,81416667;37,51458333;5;;;;;;;;
38,73013889;37,22773109;34,77930556;37,81416667;37,51458333;45,87027778;6;;;;;;;;
37,22773109;34,77930556;37,81416667;37,51458333;45,87027778;57,39791667;8;;;;;;;;
34,77930556;37,81416667;37,51458333;45,87027778;57,39791667;66,78734353;5;;;;;;;;
37,81416667;37,51458333;45,87027778;57,39791667;66,78734353;72,66986111;2;;;;;;;;
37,51458333;45,87027778;57,39791667;66,78734353;72,66986111;40,73819444;1;;;;;;;;
45,87027778;57,39791667;66,78734353;72,66986111;40,73819444;47,63569444;2;;;;;;;;
57,39791667;66,78734353;72,66986111;40,73819444;47,63569444;47,04152778;3;;;;;;;;
66,78734353;72,66986111;40,73819444;47,63569444;47,04152778;47,56063978;3;;;;;;;;
72,66986111;40,73819444;47,63569444;47,04152778;47,56063978;42,87472222;7;;;;;;;;
40,73819444;47,63569444;47,04152778;47,56063978;42,87472222;41,73097222;6;;;;;;;;
47,63569444;47,04152778;47,56063978;42,87472222;41,73097222;40,47208333;6;;;;;;;;
47,04152778;47,56063978;42,87472222;41,73097222;40,47208333;50,54208333;2;;;;;;;;
47,56063978;42,87472222;41,73097222;40,47208333;50,54208333;66,47254902;3;;;;;;;;
42,87472222;41,73097222;40,47208333;50,54208333;66,47254902;45,64388889;7;;;;;;;;
41,73097222;40,47208333;50,54208333;66,47254902;45,64388889;34,88788301;4;;;;;;;;
40,47208333;50,54208333;66,47254902;45,64388889;34,88788301;37,77663421;3;;;;;;;;
50,54208333;66,47254902;45,64388889;34,88788301;37,77663421;34,51847222;3;;;;;;;;
66,47254902;45,64388889;34,88788301;37,77663421;34,51847222;36,52125;5;;;;;;;;
45,64388889;34,88788301;37,77663421;34,51847222;36,52125;37,37222222;2;;;;;;;;
34,88788301;37,77663421;34,51847222;36,52125;37,37222222;44,02430556;1;;;;;;;;
37,77663421;34,51847222;36,52125;37,37222222;44,02430556;55,37621697;3;;;;;;;;
34,51847222;36,52125;37,37222222;44,02430556;55,37621697;55,05694444;0;;;;;;;;
36,52125;37,37222222;44,02430556;55,37621697;55,05694444;62,81418637;3;;;;;;;;
37,37222222;44,02430556;55,37621697;55,05694444;62,81418637;64,59763889;7;;;;;;;;
44,02430556;55,37621697;55,05694444;62,81418637;64,59763889;60,17736111;7;;;;;;;;
55,37621697;55,05694444;62,81418637;64,59763889;60,17736111;72,50805556;8;;;;;;;;
55,05694444;62,81418637;64,59763889;60,17736111;72,50805556;79,14861111;5;;;;;;;;
62,81418637;64,59763889;60,17736111;72,50805556;79,14861111;53,46513889;5;;;;;;;;
64,59763889;60,17736111;72,50805556;79,14861111;53,46513889;52,0015299;1;;;;;;;;
60,17736111;72,50805556;79,14861111;53,46513889;52,0015299;48,20805556;4;;;;;;;;
